Symbol,Description,Price,Exchange,Optionable Stocks,Average_Daily_Range
WPM,Wheaton Precious Metals Corp,117.38,NYS,Yes,3.3359916687011717
WSM,Williams-Sonoma Inc,187.14,NYS,Yes,4.241000366210938
WSO,Watsco Inc,349.0,NYS,Yes,7.6419921875
WST,West Pharmaceutical Services Inc,275.6,NYS,Yes,5.650997924804687
WTW,Willis Towers Watson PLC,334.15,NASDAQ,Yes,4.225994873046875
WWD,Woodward Inc,307.1,NASDAQ,Yes,6.858248901367188
XPO,XPO Inc,139.02,NYS,Yes,3.91300048828125
ZBIO,Zenas Biopharma Inc,39.05,NASDAQ,Yes,3.6545005798339845
ZBRA,Zebra Technologies Corp,245.74,NASDAQ,Yes,6.165998840332032
ZS,Zscaler Inc,228.02,NASDAQ,Yes,4.335899353027344
