"Symbol","Description","Price","Average Volume (10 Day)","Optionable Stocks"
"INVX","Innovex International Inc","$24.76","364,630","Yes"
"IRDM","Iridium Communications Inc","$23.17","2,656,010","Yes"
"IRT","Independence Realty Trust Inc","$16.35","3,194,640","Yes"
"ISSC","Innovative Solutions and Support Inc","$19.83","378,300","Yes"
"ITUB","Itau Unibanco Holding SA","$9.16","31,518,210","Yes"
"IVR","Invesco Mortgage Capital Inc","$8.71","2,645,380","Yes"
"JACK","Jack in the Box Inc","$20.73","467,510","Yes"
"JANX","Janux Therapeutics Inc","$13.14","1,363,310","Yes"
"JBGS","JBG SMITH Properties","$15.94","573,550","Yes"
"JBI","Janus International Group Inc","$7.10","1,232,950","Yes"
"JBIO","Jade Biosciences Inc","$14.81","262,120","Yes"
"JBLU","JetBlue Airways Corp","$5.91","21,848,430","Yes"
"JBS","Jbs NV","$16.00","4,343,360","Yes"
"JMIA","Jumia Technologies AG","$9.32","3,888,510","Yes"
"JOBY","Joby Aviation Inc","$9.90","33,235,300","Yes"
"JRVR","James River Group Holdings Inc","$6.87","258,390","Yes"
"KALV","Kalvista Pharmaceuticals Inc","$14.91","710,170","Yes"
"KC","Kingsoft Cloud Holdings Ltd","$14.48","1,687,330","Yes"
"KD","Kyndryl Holdings Inc","$12.24","14,096,410","Yes"
"KDK","Kodiak AI Inc","$8.61","422,780","Yes"
"KELYA","Kelly Services Inc","$9.79","859,960","Yes"
"KEP","Korea Electric Power Corp","$21.52","536,470","Yes"
"KEY","KeyCorp","$21.70","15,069,680","Yes"
"KHC","Kraft Heinz Co","$24.80","18,605,880","Yes"
"KIM","Kimco Realty Corp","$22.71","5,875,780","Yes"
"KLAR","Klarna Group PLC","$18.11","3,529,130","Yes"
"KOD","Kodiak Sciences Inc","$22.07","673,510","Yes"
"KODK","Eastman Kodak Co","$7.67","642,970","Yes"
"KPTI","Karyopharm Therapeutics Inc","$8.58","664,250","Yes"
"KREF","KKR Real Estate Finance Trust Inc","$7.01","1,285,970","Yes"
"KRNT","Kornit Digital Ltd","$15.97","417,330","Yes"
"KRNY","Kearny Financial Corp","$8.08","428,640","Yes"
"KRO","Kronos Worldwide Inc","$6.33","341,860","Yes"
"KROS","Keros Therapeutics Inc","$16.58","272,800","Yes"
"KRP","Kimbell Royalty Partners LP","$14.08","560,540","Yes"
"KSS","Kohls Corp","$19.85","3,756,300","Yes"
"KT","KT Corp","$23.56","2,009,450","Yes"
"KURA","Kura Oncology Inc","$8.31","1,256,090","Yes"
"KVUE","Kenvue Inc","$18.70","67,503,350","Yes"
"KVYO","Klaviyo Inc","$18.60","6,170,450","Yes"
"KW","Kennedy-Wilson Holdings Inc","$9.89","723,940","Yes"
"KYIV","Kyivstar Group Ltd","$12.82","1,403,020","Yes"
"KYTX","Kyverna Therapeutics Inc","$7.26","727,750","Yes"
"LADR","Ladder Capital Corp","$10.38","1,023,050","Yes"
"LAND","Gladstone Land Corp","$11.19","906,330","Yes"
"LAR","Lithium Argentina AG","$6.91","2,647,620","Yes"
"LBTYA","Liberty Global Ltd","$10.89","3,166,560","Yes"
"LC","LendingClub Corp","$15.59","2,837,580","Yes"
"LCID","Lucid Group Inc","$10.28","7,398,880","Yes"
"LEG","Leggett & Platt Inc","$11.73","2,146,710","Yes"
"LEGN","Legend Biotech Corp","$17.58","2,741,750","Yes"
"LENZ","LENZ Therapeutics Inc","$12.88","1,009,970","Yes"
"LEVI","Levi Strauss & Co","$21.91","3,288,590","Yes"
"LFST","LifeStance Health Group Inc","$7.03","1,778,390","Yes"
"LI","Li Auto Inc","$18.46","4,708,840","Yes"
"LILA","Liberty Latin America Ltd","$7.72","329,270","Yes"
"LIND","Lindblad Expeditions Holdings Inc","$20.25","935,540","Yes"
"LION","Lionsgate Studios Corp","$8.09","2,808,480","Yes"
"LOMA","Loma Negra Compania Industrial Argentina SA","$11.47","355,820","Yes"
"LPTH","LightPath Technologies Inc","$12.48","3,150,880","Yes"
"LTBR","Lightbridge Corp","$12.62","965,270","Yes"
"LTRX","Lantronix Inc","$5.32","1,503,770","Yes"
"LUCK","Lucky Strike Entertainment Corp","$7.83","577,810","Yes"
"LUMN","Lumen Technologies Inc","$8.39","20,136,680","Yes"
"LUNR","Intuitive Machines Inc","$16.13","9,646,670","Yes"
"LUXE","LuxExperience BV","$10.51","577,740","Yes"
"LXEO","Lexeo Therapeutics Inc","$6.31","954,210","Yes"
"LXU","LSB Industries Inc","$9.85","464,680","Yes"
"LYFT","Lyft Inc","$13.27","25,641,350","Yes"
"LYG","Lloyds Banking Group PLC","$5.61","26,126,150","Yes"
"LZ","LegalZoom.com Inc","$6.87","6,739,830","Yes"
"M","Macy's Inc","$21.63","6,647,780","Yes"
"MAC","Macerich Co","$18.52","2,365,540","Yes"
"MAGN","Magnera Corp","$13.82","554,050","Yes"
"MAMA","Mama's Creations Inc","$15.08","550,370","Yes"
"MANU","Manchester United PLC","$17.44","339,560","Yes"
"MARA","MARA Holdings Inc","$7.25","55,759,800","Yes"
"MASS","908 Devices Inc","$6.49","348,970","Yes"
"MAT","Mattel Inc","$16.47","9,649,570","Yes"
"MATV","Mativ Holdings Inc","$14.78","333,140","Yes"
"MAX","Mediaalpha Inc","$7.17","1,098,530","Yes"
"MBC","Masterbrand Inc","$11.79","2,802,400","Yes"
"MBI","MBIA Inc","$6.04","405,470","Yes"
"MBLY","Mobileye Global Inc","$9.19","7,601,650","Yes"
"MCHB","Mechanics Bancorp","$15.37","470,790","Yes"
"MCW","Mister Car Wash Inc","$5.97","1,117,550","Yes"
"MD","Pediatrix Medical Group Inc","$21.52","538,680","Yes"
"MDU","MDU Resources Group Inc","$20.80","2,242,070","Yes"
"MDXG","MiMedx Group Inc","$5.09","993,910","Yes"
"MEG","Montrose Environmental Group Inc","$20.49","282,120","Yes"
"MEI","Methode Electronics Inc","$9.07","428,450","Yes"
"METC","Ramaco Resources Inc","$16.48","2,657,930","Yes"
"MFA","MFA Financial Inc","$9.89","1,594,330","Yes"
"MFG","Mizuho Financial Group Inc","$9.90","5,121,600","Yes"
"MFIC","MidCap Financial Investment Corp","$11.11","728,950","Yes"
"MGNI","Magnite Inc","$11.70","3,046,390","Yes"
"MGTX","MeiraGTx Holdings PLC","$7.45","382,880","Yes"
"MIR","Mirion Technologies Inc","$22.51","4,491,060","Yes"
"MITK","Mitek Systems Inc","$11.51","972,310","Yes"
"MLCO","Melco Resorts & Entertainment Ltd","$5.53","3,068,710","Yes"
"MLKN","MillerKnoll Inc","$21.78","540,150","Yes"
"MLTX","MoonLake Immunotherapeutics","$15.61","1,083,200","Yes"
"MNKD","MannKind Corp","$5.66","3,228,090","Yes"
"MNR","Mach Natural Resources LP","$13.10","277,720","Yes"
"MNRO","Monro Inc","$23.81","809,720","Yes"
"MNSO","MINISO Group Holding Ltd","$19.27","973,000","Yes"
"MNTN","MNTN Inc","$10.27","1,988,680","Yes"
"MOMO","Hello Group Inc","$6.48","906,770","Yes"
"MPT","Medical Properties Trust Inc","$5.44","6,067,520","Yes"
"MRAM","Everspin Technologies Inc","$11.03","1,141,770","Yes"
"MRTN","Marten Transport Ltd","$13.24","833,280","Yes"
"MSDL","Morgan Stanley Direct Lending Fund","$15.79","1,024,310","Yes"
"MTRX","Matrix Service Co","$11.46","354,610","Yes"
"MTUS","Metallus Inc","$20.70","402,330","Yes"
"MTW","Manitowoc Company Inc","$14.30","430,730","Yes"
"MUFG","Mitsubishi UFJ Financial Group Inc","$19.73","3,787,510","Yes"
"MXL","Maxlinear Inc","$19.53","1,452,070","Yes"
"MYE","Myers Industries Inc","$22.08","294,190","Yes"
"NABL","N-Able Inc","$5.35","1,760,080","Yes"
"NAGE","Niagen Bioscience Inc","$5.09","986,840","Yes"
"NAVI","Navient Corp","$9.34","1,359,500","Yes"
"NAVN","Navan Inc","$10.44","1,972,280","Yes"
"NB","NioCorp Developments Ltd","$5.80","5,608,300","Yes"
"NBBK","NB Bancorp Inc","$21.62","385,080","Yes"
"NCLH","Norwegian Cruise Line Holdings Ltd","$21.49","21,356,670","Yes"
"NCNO","nCino Inc","$16.14","2,898,090","Yes"
"NEO","Neogenomics Inc","$11.17","1,533,990","Yes"
"NEOG","Neogen Corp","$10.94","3,231,090","Yes"
"NEXA","Nexa Resources SA","$11.93","573,790","Yes"
"NEXN","Nexxen International Ltd","$6.10","382,420","Yes"
"NEXT","NextDecade Corp","$5.10","2,926,430","Yes"
"NFBK","Northfield Bancorp Inc","$13.59","692,180","Yes"
"NG","NovaGold Resources Inc","$10.75","5,728,960","Yes"
"NGD","New Gold Inc","$11.06","23,530,770","Yes"
"NGL","NGL Energy Partners LP","$12.00","547,770","Yes"
"NIQ","NIQ Global Intelligence PLC","$10.77","2,082,510","Yes"
"NLY","Annaly Capital Management Inc","$23.07","9,339,390","Yes"
"NMAX","Newsmax Inc","$5.40","1,329,660","Yes"
"NMFC","New Mountain Finance Corp","$8.32","1,667,320","Yes"
"NMR","Nomura Holdings Inc","$9.54","1,614,050","Yes"
"NMRK","Newmark Group Inc","$14.82","1,884,600","Yes"
"NN","NextNav Inc","$16.13","1,147,440","Yes"
"NNE","Nano Nuclear Energy Inc","$24.78","1,851,960","Yes"
"NOK","Nokia Oyj","$7.03","32,455,140","Yes"
"NOMD","Nomad Foods Ltd","$12.90","1,364,290","Yes"
"NOV","Nov Inc","$19.20","5,949,970","Yes"
"NPKI","NPK International Inc","$14.44","681,870","Yes"
"NRDS","NerdWallet Inc","$9.41","1,141,230","Yes"
"NRIX","Nurix Therapeutics Inc","$15.60","949,560","Yes"
"NTGR","NETGEAR Inc","$21.94","818,320","Yes"
"NTLA","Intellia Therapeutics Inc","$11.87","4,112,630","Yes"
"NTSK","Netskope Inc","$11.89","2,531,230","Yes"
"NTST","Netstreit Corp","$20.20","1,993,840","Yes"
"NU","Nu Holdings Ltd","$16.82","49,223,470","Yes"
"NUS","NU Skin Enterprises Inc","$8.36","439,930","Yes"
"NUVB","Nuvation Bio Inc","$5.77","5,171,220","Yes"
"NVA","Nova Minerals Ltd","$7.06","825,460","Yes"
"NVAX","Novavax Inc","$8.70","3,990,530","Yes"
"NVCR","Novocure Ltd","$10.99","3,498,450","Yes"
"NVGS","Navigator Holdings Ltd","$19.30","261,160","Yes"
"NVRI","Enviri Corp","$18.92","1,262,940","Yes"
"NVTS","Navitas Semiconductor Corp","$8.30","19,486,490","Yes"
"NWBI","Northwest Bancshares Inc","$12.99","1,210,000","Yes"
"NWG","NatWest Group PLC","$16.07","4,223,190","Yes"
"NWSA","News Corp","$22.72","6,026,250","Yes"
"NX","Quanex Building Products Corp","$22.04","609,420","Yes"
"OBDC","Blue Owl Capital Corp","$11.47","8,520,910","Yes"
"OBE","Obsidian Energy Ltd","$7.67","646,680","Yes"
"OCFC","OceanFirst Financial Corp","$19.58","759,590","Yes"
"OCSL","Oaktree Specialty Lending Corp","$12.14","974,280","Yes"
"OCUL","Ocular Therapeutix Inc","$8.88","5,356,710","Yes"
"OEC","Orion SA","$7.11","625,970","Yes"
"OGN","Organon & Co","$7.39","5,438,490","Yes"
"OI","O-I Glass Inc","$14.79","1,876,950","Yes"
"OIS","Oil States International Inc","$9.40","957,890","Yes"
"OLMA","Olema Pharmaceuticals Inc","$22.59","1,634,330","Yes"
"OMDA","Omada Health Inc","$11.31","1,392,490","Yes"
"OMER","Omeros Corp","$11.69","1,079,850","Yes"
"ONB","Old National Bancorp","$24.77","3,396,870","Yes"
"ONDS","Ondas Inc","$8.97","86,009,660","Yes"
"ONTF","ON24 Inc","$7.92","478,270","Yes"
"OPFI","OppFi Inc","$8.91","500,520","Yes"
"OPRA","Opera Ltd","$12.38","938,630","Yes"
"OPRX","OptimizeRx Corp","$8.21","505,460","Yes"
"ORC","Orchid Island Capital Inc","$7.53","8,027,670","Yes"
"ORIC","Oric Pharmaceuticals Inc","$9.99","1,257,580","Yes"
"ORN","Orion Group Holdings Inc","$13.84","473,430","Yes"
"OS","OneStream Inc","$23.51","7,953,090","Yes"
"OSBC","Old Second Bancorp Inc","$20.57","345,110","Yes"
"OSCR","Oscar Health Inc","$13.42","11,480,790","Yes"
"OSG","Octave Specialty Group Inc","$5.76","528,720","Yes"
"OSPN","OneSpan Inc","$10.80","1,023,990","Yes"
"OSS","One Stop Systems Inc","$8.55","1,974,790","Yes"
"OSW","Onespaworld Holdings Ltd","$22.56","2,971,760","Yes"
"OTEX","Open Text Corp","$24.59","3,905,760","Yes"
"OUST","Ouster Inc","$18.77","2,067,530","Yes"
"OWL","Blue Owl Capital Inc","$12.30","38,256,630","Yes"
"PAA","Plains All American Pipeline LP","$20.15","4,357,460","Yes"
"PACK","Ranpak Holdings Corp","$5.97","562,890","Yes"
"PAGP","Plains GP Holdings LP","$21.59","2,442,290","Yes"
"PAGS","PagSeguro Digital Ltd","$10.55","4,574,690","Yes"
"PAL","Proficient Auto Logistics Inc","$7.06","435,210","Yes"
"PANL","Pangaea Logistics Solutions Ltd","$8.45","720,610","Yes"
"PAR","PAR Technology Corp","$20.86","1,881,240","Yes"
"PATH","UiPath Inc","$11.32","33,599,510","Yes"
"PAVM","PAVmed Inc","$10.28","306,440","Yes"
"PAX","Patria Investments Ltd","$13.91","1,473,790","Yes"
"PAY","Paymentus Holdings Inc","$23.10","718,250","Yes"
"PAYO","Payoneer Global Inc","$5.40","4,747,640","Yes"
"PBI","Pitney Bowes Inc","$10.25","1,867,460","Yes"
"PBR","Petroleo Brasileiro SA Petrobras","$15.19","26,783,710","Yes"
"PBYI","Puma Biotechnology Inc","$6.82","432,630","Yes"
"PCG","PG&E Corp","$18.16","23,717,880","Yes"
"PCRX","Pacira Biosciences Inc","$21.77","686,470","Yes"
"PCT","Purecycle Technologies Inc","$8.72","3,070,160","Yes"
"PD","PagerDuty Inc","$6.94","4,247,430","Yes"
"PDM","Piedmont Realty Trust Inc","$8.25","1,061,920","Yes"
"PDYN","Palladyne AI Corp","$6.72","3,639,040","Yes"
"PEB","Pebblebrook Hotel Trust","$12.75","1,999,720","Yes"
"PENG","Penguin Solutions Inc","$19.37","1,513,600","Yes"
"PENN","PENN Entertainment Inc","$11.76","4,437,140","Yes"
"PEPG","PepGen Inc","$6.44","926,820","Yes"
"PERI","Perion Network Ltd","$8.54","379,260","Yes"
"PFLT","PennantPark Floating Rate Capital Ltd","$8.63","1,350,930","Yes"
"PFS","Provident Financial Services Inc","$22.96","1,017,850","Yes"
"PGNY","Progyny Inc","$20.69","1,312,530","Yes"
"PGY","Pagaya Technologies Ltd","$12.40","7,990,510","Yes"
"PHAT","Phathom Pharmaceuticals Inc","$12.02","822,740","Yes"
"PHR","Phreesia Inc","$11.95","2,493,710","Yes"
"PINS","Pinterest Inc","$15.42","16,350,380","Yes"
"PK","Park Hotels & Resorts Inc","$11.20","3,964,860","Yes"
"PKE","Park Aerospace Corp","$23.68","269,450","Yes"
"PKST","Peakstone Realty Trust","$20.82","1,929,360","Yes"
"PL","Planet Labs PBC","$22.42","11,284,200","Yes"
"PLAY","Dave & Buster's Entertainment Inc","$14.85","776,430","Yes"
"PLSE","Pulse Biosciences Inc","$23.40","728,930","Yes"
"PMT","PennyMac Mortgage Investment Trust","$12.64","1,842,520","Yes"
"PNNT","Pennantpark Investment Corp","$5.16","912,750","Yes"
"POET","POET Technologies Inc","$5.65","7,345,550","Yes"
"PONY","Pony AI Inc","$14.07","3,576,540","Yes"
"PR","Permian Resources Corp","$17.29","13,885,160","Yes"
"PRA","ProAssurance Corp","$24.49","687,030","Yes"
"PRAA","PRA Group Inc","$10.86","639,110","Yes"
"PRCH","Porch Group Inc","$8.54","2,245,620","Yes"
"PRE","Prenetics Global Ltd","$21.97","294,530","Yes"
"PRGO","Perrigo Company PLC","$14.54","2,170,110","Yes"
"PRMB","Primo Brands Corp","$18.76","5,121,120","Yes"
"PRTA","Prothena Corporation PLC","$8.96","408,780","Yes"
"PRTH","Priority Technology Holdings Inc","$5.31","367,760","Yes"
"PRVA","Privia Health Group Inc","$22.39","752,380","Yes"
"PSFE","Paysafe Ltd","$6.11","537,060","Yes"
"PSKY","Paramount Skydance Corp","$10.32","8,208,500","Yes"
"PSNL","Personalis Inc","$8.21","1,296,780","Yes"
"PSNY","Polestar Automotive Holding UK PLC","$18.44","434,170","Yes"
"PSO","Pearson PLC","$12.56","1,529,090","Yes"
"PSTL","Postal Realty Trust Inc","$18.85","374,470","Yes"
"PTEN","Patterson-UTI Energy Inc","$8.10","11,791,140","Yes"
"PTLO","Portillos Inc","$5.40","1,548,580","Yes"
"PTRN","Pattern Group Inc","$10.82","1,232,260","Yes"
"PUBM","PubMatic Inc","$6.54","841,020","Yes"
"PUMP","ProPetro Holding Corp","$12.02","3,080,760","Yes"
"PWP","Perella Weinberg Partners","$21.48","1,342,530","Yes"
"QBTS","D-Wave Quantum Inc","$19.67","29,274,530","Yes"
"QDEL","QuidelOrtho Corp","$23.58","1,244,130","Yes"
"QFIN","Qfin Holdings Inc","$15.55","1,478,640","Yes"
"QNST","QuinStreet Inc","$11.25","1,343,090","Yes"
"QS","Quantumscape Corp","$7.73","19,176,410","Yes"
"QTRX","Quanterix Corp","$5.74","584,310","Yes"
"QUBT","Quantum Computing Inc","$8.19","15,092,200","Yes"
"QURE","Uniqure NV","$20.50","2,023,200","Yes"
"RAMP","Liveramp Holdings Inc","$24.36","870,010","Yes"
"RARE","Ultragenyx Pharmaceutical Inc","$20.52","2,229,880","Yes"
"RCAT","Red Cat Holdings Inc","$11.25","9,811,510","Yes"
"RCUS","Arcus Biosciences Inc","$18.92","903,200","Yes"
"RDW","Redwire Corp","$8.02","26,952,320","Yes"
"RDY","Dr Reddy's Laboratories Ltd","$14.14","2,232,830","Yes"
"REAL","RealReal Inc","$11.45","3,093,180","Yes"
"RELY","Remitly Global Inc","$12.76","3,259,880","Yes"
"REPL","Replimune Group Inc","$7.97","1,175,510","Yes"
"RES","RPC Inc","$5.82","3,533,400","Yes"
"REYN","Reynolds Consumer Products Inc","$23.73","1,607,020","Yes"
"RGNX","Regenxbio Inc","$7.99","1,077,350","Yes"
"RGTI","Rigetti Computing Inc","$14.99","31,612,410","Yes"
"RHI","Robert Half Inc","$24.77","5,103,010","Yes"
"RIG","Transocean Ltd","$6.54","79,136,180","Yes"
"RILY","BRC Group Holdings Inc","$6.82","741,540","Yes"
"RIOT","Riot Platforms Inc","$14.20","21,077,400","Yes"
"RITM","Rithm Capital Corp","$10.57","13,059,790","Yes"
"RIVN","Rivian Automotive Inc","$17.73","28,907,630","Yes"
"RKT","Rocket Companies Inc","$18.68","40,285,670","Yes"
"RLAY","Relay Therapeutics Inc","$8.93","2,661,170","Yes"
"RLGT","Radiant Logistics Inc","$7.33","303,590","Yes"
"RLJ","RLJ Lodging Trust","$8.29","1,586,390","Yes"
"RMR","RMR Group Inc","$17.15","308,400","Yes"
"RNW","Renew Energy Global PLC","$5.35","689,860","Yes"
"RPC","P10 Inc","$8.70","665,770","Yes"
"RPD","Rapid7 Inc","$7.18","2,273,830","Yes"
"RSI","Rush Street Interactive Inc","$16.03","2,385,460","Yes"
"RUM","Rumble Inc","$5.96","2,352,270","Yes"
"RUN","Sunrun Inc","$19.09","8,337,930","Yes"
"RWAY","Runway Growth Finance Corp","$8.59","426,360","Yes"
"RWT","Redwood Trust Inc","$6.59","1,917,080","Yes"
"RXO","RXO Inc","$13.51","4,160,920","Yes"
"RXST","Rxsight Inc","$8.04","1,482,240","Yes"
"RYAM","Rayonier Advanced Materials Inc","$8.24","737,170","Yes"
"RYN","Rayonier Inc","$23.60","4,753,050","Yes"
"S","SentinelOne Inc","$13.87","9,947,080","Yes"
"SAFE","Safehold Inc","$15.66","395,190","Yes"
"SAIL","SailPoint Inc","$15.92","3,077,620","Yes"
"SAN","Banco Santander SA","$11.86","24,379,660","Yes"
"SB","Safe Bulkers Inc","$5.99","757,840","Yes"
"SBET","Sharplink Inc","$6.54","9,114,250","Yes"
"SBGI","Sinclair Inc","$14.96","386,070","Yes"
"SBH","Sally Beauty Holdings Inc","$16.32","2,321,940","Yes"
"SBLK","Star Bulk Carriers Corp","$23.80","1,150,620","Yes"
"SBRA","Sabra Health Care REIT Inc","$20.17","3,152,480","Yes"
"SBSW","Sibanye Stillwater Ltd","$17.23","8,756,190","Yes"
"SCM","Stellus Capital Investment Corp","$11.47","289,510","Yes"
"SCVL","Shoe Carnival Inc","$20.09","358,450","Yes"
"SD","SandRidge Energy Inc","$16.90","346,230","Yes"
"SDGR","Schrodinger Inc","$11.40","2,000,290","Yes"
"SEM","Select Medical Holdings Corp","$16.38","809,620","Yes"
"SEMR","SEMrush Holdings Inc","$11.83","2,196,410","Yes"
"SENS","Senseonics Holdings Inc","$7.51","659,270","Yes"
"SERV","Serve Robotics Inc","$9.31","5,002,390","Yes"
"SFL","SFL Corporation Ltd","$10.30","2,204,440","Yes"
"SFNC","Simmons First National Corp","$21.36","1,264,120","Yes"
"SG","Sweetgreen Inc","$5.14","3,769,180","Yes"
"SGHC","SGHC Ltd","$8.96","3,279,020","Yes"
"SGMT","Sagimet Biosciences Inc","$5.06","876,850","Yes"
"SGRY","Surgery Partners Inc","$15.46","1,823,310","Yes"
"SHBI","Shore Bancshares Inc","$19.79","346,930","Yes"
"SHC","Sotera Health Co","$17.12","1,605,870","Yes"
"SHEN","Shenandoah Telecommunications Co","$12.94","338,380","Yes"
"SHLS","Shoals Technologies Group Inc","$10.24","4,271,040","Yes"
"SHO","Sunstone Hotel Investors Inc","$9.22","3,012,580","Yes"
"SIBN","SI-BONE Inc","$15.33","413,630","Yes"
"SIGA","SIGA Technologies Inc","$6.79","373,390","Yes"
"SIRI","Sirius XM Holdings Inc","$21.29","9,041,880","Yes"
"SITC","Site Centers Corp","$6.46","690,460","Yes"
"SLDB","Solid Biosciences Inc","$6.19","1,362,880","Yes"
"SLDE","Slide Insurance Holdings Inc","$16.87","919,570","Yes"
"SLM","SLM Corp","$24.04","2,956,140","Yes"
"SLP","Simulations Plus Inc","$12.29","515,360","Yes"
"SLRC","SLR Investment Corp","$15.00","311,220","Yes"
"SM","SM Energy Co","$21.46","8,595,210","Yes"
"SMFG","Sumitomo Mitsui Financial Group Inc","$23.81","2,601,390","Yes"
"SMMT","Summit Therapeutics Inc","$14.96","2,947,050","Yes"
"SMPL","Simply Good Foods Co","$16.04","2,522,720","Yes"
"SMR","Nuscale Power Corp","$14.31","25,636,100","Yes"
"SMX","SMX (Security Matters) PLC","$14.03","6,050,180","Yes"
"SNBR","Sleep Number Corp","$9.42","572,850","Yes"
"SNCR","Synchronoss Technologies Inc","$9.00","313,670","Yes"
"SNCY","Sun Country Airlines Holdings Inc","$21.19","1,494,250","Yes"
"SND","Smart Sand Inc","$5.36","392,380","Yes"
"SNDX","Syndax Pharmaceuticals Inc","$20.48","1,308,890","Yes"
"SOC","Sable Offshore Corp","$8.89","5,804,160","Yes"
"SOFI","SoFi Technologies Inc","$19.61","76,447,460","Yes"
"SONO","Sonos Inc","$15.51","2,998,320","Yes"
"SONY","Sony Group Corp","$23.19","8,753,620","Yes"
"SOUN","SoundHound AI Inc","$7.46","28,842,590","Yes"
"SPIR","Spire Global Inc","$9.51","551,740","Yes"
"SPNT","Siriuspoint Ltd","$20.51","656,360","Yes"
"SPRY","ARS Pharmaceuticals Inc","$8.85","1,188,780","Yes"
"SPT","Sprout Social Inc","$6.87","2,175,640","Yes"
"SRAD","Sportradar Group AG","$16.47","2,805,820","Yes"
"SRI","Stoneridge Inc","$8.82","288,930","Yes"
"SRPT","Sarepta Therapeutics Inc","$17.79","2,549,660","Yes"
"SSL","Sasol Ltd","$7.96","2,623,560","Yes"
"SSTI","SoundThinking Inc","$7.39","271,250","Yes"
"SSTK","Shutterstock Inc","$17.27","343,170","Yes"
"SSYS","Stratasys Ltd","$10.97","815,580","Yes"
"STAA","STAAR Surgical Co","$16.10","1,278,340","Yes"
"STEM","Stem Inc","$11.30","255,650","Yes"
"STKL","Sunopta Inc","$6.44","7,904,050","Yes"
"STNE","StoneCo Ltd","$16.86","5,979,370","Yes"
"STUB","StubHub Holdings Inc","$9.23","3,825,980","Yes"
"STVN","Stevanato Group SpA","$16.01","978,480","Yes"
"STWD","Starwood Property Trust Inc","$18.07","3,713,510","Yes"
"SUPV","Grupo Supervielle SA","$10.52","1,223,270","Yes"
"SVM","Silvercorp Metals Inc","$10.98","7,748,630","Yes"
"SVRA","Savara Inc","$5.60","1,579,940","Yes"
"SVV","Savers Value Village Inc","$11.29","776,540","Yes"
"SWBI","Smith & Wesson Brands Inc","$11.75","505,300","Yes"
"SWIM","Latham Group Inc","$6.60","394,680","Yes"
"SXC","SunCoke Energy Inc","$7.99","1,000,780","Yes"
"TAC","TransAlta Corp","$13.58","1,504,180","Yes"
"TAK","Takeda Pharmaceutical Co Ltd","$18.46","3,177,100","Yes"
"TAL","TAL Education Group","$11.25","4,719,340","Yes"
"TALO","Talos Energy Inc","$13.12","1,964,470","Yes"
"TARA","Protara Therapeutics Inc","$6.51","621,030","Yes"
"TASK","Taskus Inc","$10.02","473,660","Yes"
"TBCH","Turtle Beach Corp","$11.81","270,520","Yes"
"TBPH","Theravance Biopharma Inc","$19.53","411,960","Yes"
"TDAY","USA TODAY Co Inc","$5.96","1,721,720","Yes"
"TE","T1 Energy Inc","$6.12","21,227,450","Yes"
"TECX","Tectonic Therapeutic Inc","$22.28","833,850","Yes"
"TENB","Tenable Holdings Inc","$22.55","4,343,600","Yes"
"TEO","Telecom Argentina SA","$11.42","396,970","Yes"
"TFSL","TFS Financial Corp","$14.93","933,370","Yes"
"TGB","Taseko Mines Ltd","$8.29","8,453,270","Yes"
"TGNA","Tegna Inc","$20.95","2,380,020","Yes"
"TH","Target Hospitality Corp","$7.08","361,570","Yes"
"TIC","TIC Solutions Inc","$9.36","2,620,230","Yes"
"TIGR","UP Fintech Holding Ltd","$8.03","2,780,380","Yes"
"TK","Teekay Corp Ltd","$11.42","598,710","Yes"
"TKC","Turkcell Iletisim Hizmetleri AS","$7.05","941,150","Yes"
"TLRY","Tilray Brands Inc","$7.51","3,024,520","Yes"
"TMC","TMC the metals company Inc","$6.09","8,249,400","Yes"
"TME","Tencent Music Entertainment Group","$15.85","6,607,670","Yes"
"TNDM","Tandem Diabetes Care Inc","$18.95","1,077,020","Yes"
"TNGX","Tango Therapeutics Inc","$12.90","2,846,800","Yes"
"TNXP","Tonix Pharmaceuticals Holding Corp","$15.10","349,580","Yes"
"TPVG","Triplepoint Venture Growth BDC Corp","$5.65","485,160","Yes"
"TRIN","Trinity Capital Inc","$15.41","1,535,340","Yes"
"TRIP","Tripadvisor Inc","$9.61","3,887,140","Yes"
"TROX","Tronox Holdings PLC","$7.85","4,193,540","Yes"
"TRTX","TPG RE Finance Trust Inc","$8.85","692,020","Yes"
"TRVI","Trevi Therapeutics Inc","$10.40","1,395,230","Yes"
"TSLX","Sixth Street Specialty Lending Inc","$19.23","916,960","Yes"
"TSSI","TSS Inc","$8.01","899,400","Yes"
"TTAM","Titan America SA","$18.59","501,610","Yes"
"TTGT","TechTarget Inc","$5.02","506,050","Yes"
"TTI","Tetra Technologies Inc","$10.94","1,562,470","Yes"
"TWI","Titan International Inc","$11.02","767,780","Yes"
"TWO","Two Harbors Investment Corp","$11.40","3,182,200","Yes"
"TXG","10X Genomics Inc","$18.12","2,945,960","Yes"
"U","Unity Software Inc","$18.68","42,165,810","Yes"
"UAA","Under Armour Inc","$7.19","14,750,480","Yes"
"UAMY","United States Antimony Corp","$7.62","15,304,530","Yes"
"UE","Urban Edge Properties","$20.77","1,078,030","Yes"
"UEC","Uranium Energy Corp","$15.52","11,052,960","Yes"
"UGP","Ultrapar Participacoes SA","$5.13","2,124,320","Yes"
