Symbol,Description,Price,Market Capitalization,Optionable Stocks,Average Volume (10 Day),Beta
BDC,Belden Inc,$149.62,$6B (Small),Yes,"427,980",1.15
BDX,Becton Dickinson and Co,$175.89,$50B (Large),Yes,"3,879,380",0.24
BE,Bloom Energy Corp,$139.74,$39B (Mid),Yes,"13,182,390",3.14
BG,Bunge Global SA,$122.53,$24B (Mid),Yes,"1,850,660",0.73
BIDU,Baidu Inc,$137.01,$47B (Large),Yes,"2,690,770",0.31
BIIB,Biogen Inc,$196.52,$29B (Mid),Yes,"1,884,650",0.14
BIO,Bio Rad Laboratories Inc,$256.56,$6B (Small),Yes,"333,130",1.2
BJ,BJ's Wholesale Club Holdings Inc,$102.78,$13B (Mid),Yes,"1,981,990",0.34
BK,Bank of New York Mellon Corp,$117.74,$81B (Large),Yes,"4,265,180",1.1
BKNG,Booking Holdings Inc,"$4,140.60",$133B (Large),Yes,"560,860",1.22
BLD,TopBuild Corp,$550.90,$15B (Mid),Yes,"323,790",1.68
BLDR,Builders FirstSource Inc,$114.73,$13B (Mid),Yes,"2,711,180",1.54
BLK,BlackRock Inc,"$1,071.51",$166B (Large),Yes,"892,250",1.49
BMI,Badger Meter Inc,$154.88,$5B (Small),Yes,"527,760",0.86
BMO,Bank of Montreal,$141.02,$100B (Large),Yes,"831,090",0.93
BNTX,Biontech SE,$105.87,$27B (Mid),Yes,"738,400",1.51
BOKF,BOK Financial Corp,$134.22,$8B (Mid),Yes,"387,950",0.86
BOOT,Boot Barn Holdings Inc,$187.99,$6B (Small),Yes,"781,880",1.66
BPOP,Popular Inc,$142.63,$9B (Mid),Yes,"631,240",0.61
BR,Broadridge Financial Solutions Inc,$173.70,$20B (Mid),Yes,"2,141,600",1.0
BURL,Burlington Stores Inc,$302.37,$19B (Mid),Yes,"834,450",1.73
BWXT,BWX Technologies Inc,$200.40,$18B (Mid),Yes,"977,580",0.83
BX,Blackstone Inc,$129.86,$155B (Large),Yes,"8,953,200",1.78
C,Citigroup Inc,$110.86,$198B (Large),Yes,"14,826,600",1.15
CACC,Credit Acceptance Corp,$483.98,$5B (Small),Yes,"271,320",1.28
CACI,CACI International Inc,$573.30,$13B (Mid),Yes,"302,900",0.62
CAH,Cardinal Health Inc,$220.79,$52B (Large),Yes,"2,033,750",0.66
CAMT,Camtek Ltd,$162.00,$7B (Small),Yes,"478,040",1.55
CAR,Avis Budget Group Inc,$118.35,$4B (Small),Yes,"568,300",2.29
CASY,Caseys General Stores Inc,$665.86,$25B (Mid),Yes,"378,780",0.65
CAT,Caterpillar Inc,$774.20,$362B (Large),Yes,"3,983,180",1.51
CB,Chubb Ltd,$324.95,$127B (Large),Yes,"2,024,860",0.48
CBOE,Cboe Global Markets Inc,$275.11,$29B (Mid),Yes,"1,058,610",0.34
CBRE,CBRE Group Inc,$142.31,$42B (Large),Yes,"3,724,720",1.35
CCK,Crown Holdings Inc,$110.79,$13B (Mid),Yes,"1,577,400",0.7
CDNS,Cadence Design Systems Inc,$299.46,$82B (Large),Yes,"3,458,120",1.0
CDW,CDW Corp,$126.86,$17B (Mid),Yes,"2,276,830",1.04
CEG,Constellation Energy Corp,$288.43,$90B (Large),Yes,"4,810,050",1.13
CELC,Celcuity Inc,$104.51,$5B (Small),Yes,"747,630",0.41
CFR,Cullen/Frost Bankers Inc,$144.48,$9B (Mid),Yes,"496,160",0.61
CHD,Church & Dwight Co Inc,$101.45,$24B (Mid),Yes,"2,429,650",0.45
CHH,Choice Hotels International Inc,$110.04,$5B (Small),Yes,"681,790",0.75
CHKP,Check Point Software Technologies Ltd,$171.48,$18B (Mid),Yes,"1,704,650",0.61
CHRD,Chord Energy Corp,$102.02,$6B (Small),Yes,"670,840",0.83
