Symbol,Description,Price,Market Capitalization,Optionable Stocks,Average Volume (10 Day),Beta
MAA,Mid-America Apartment Communities Inc,$135.55,$16B (Mid),Yes,"1,255,220",0.78
MANH,Manhattan Associates Inc,$140.45,$8B (Mid),Yes,"1,327,320",1.04
MAR,Marriott International Inc,$353.89,$94B (Large),Yes,"1,939,900",1.07
MASI,Masimo Corp,$130.15,$7B (Small),Yes,"656,100",1.27
MATX,Matson Inc,$162.18,$5B (Small),Yes,"277,690",1.33
MCD,McDonald's Corp,$327.58,$233B (Large),Yes,"3,974,580",0.52
MCK,McKesson Corp,$934.75,$114B (Large),Yes,"1,145,580",0.39
MCO,Moody's Corp,$426.44,$76B (Large),Yes,"2,282,640",1.47
MDB,MongoDB Inc,$368.40,$30B (Mid),Yes,"1,771,370",1.38
MEDP,Medpace Holdings Inc,$428.03,$12B (Mid),Yes,"601,890",1.46
MELI,MercadoLibre Inc,"$1,988.26",$101B (Large),Yes,"564,180",1.46
META,Meta Platforms Inc,$639.77,$2T (Large),Yes,"14,721,330",1.31
MHK,Mohawk Industries Inc,$132.60,$8B (Mid),Yes,"1,050,110",1.17
MHO,M/I Homes Inc,$149.58,$4B (Small),Yes,"302,280",1.75
MIDD,Middleby Corp,$163.93,$8B (Mid),Yes,"540,740",1.36
MIRM,Mirum Pharmaceuticals Inc,$103.10,$5B (Small),Yes,"639,100",0.51
MKSI,MKS Inc,$260.74,$18B (Mid),Yes,"1,938,000",1.91
MKTX,Marketaxess Holdings Inc,$179.36,$7B (Small),Yes,"794,340",0.94
MLI,Mueller Industries Inc,$119.46,$13B (Mid),Yes,"1,334,420",1.05
MLM,Martin Marietta Materials Inc,$678.86,$41B (Mid),Yes,"595,280",1.13
MMM,3M Co,$171.82,$90B (Large),Yes,"4,647,140",1.05
MOD,Modine Manufacturing Co,$216.50,$11B (Mid),Yes,"1,967,840",1.66
MOG/A,Moog Inc,$324.63,$9B (Mid),Yes,"266,550",0.94
MOH,Molina Healthcare Inc,$135.35,$7B (Small),Yes,"2,978,130",0.55
MORN,Morningstar Inc,$160.03,$7B (Small),Yes,"954,800",1.13
MPC,Marathon Petroleum Corp,$203.26,$60B (Large),Yes,"2,561,530",0.67
MPWR,Monolithic Power Systems Inc,"$1,171.47",$57B (Large),Yes,"858,070",1.44
MRK,Merck & Co Inc,$121.41,$301B (Large),Yes,"16,529,130",0.28
MRSH,Marsh & McLennan Companies Inc,$174.06,$84B (Large),Yes,"3,837,560",0.75
MS,Morgan Stanley,$171.15,$271B (Large),Yes,"9,172,020",1.19
MSCI,MSCI Inc,$526.06,$39B (Mid),Yes,"1,066,170",1.31
MSFT,Microsoft Corp,$401.32,$3T (Large),Yes,"47,618,420",1.1
MSI,Motorola Solutions Inc,$461.76,$76B (Large),Yes,"1,376,270",0.97
MSTR,Strategy Inc,$133.88,$42B (Large),Yes,"32,568,290",3.55
MTB,M&T Bank Corp,$228.71,$35B (Mid),Yes,"1,427,760",0.57
MTN,Vail Resorts Inc,$134.32,$5B (Small),Yes,"830,330",0.78
MTSI,MACOM Technology Solutions Holdings Inc,$244.16,$18B (Mid),Yes,"1,769,840",1.4
MTZ,MasTec Inc,$269.53,$21B (Mid),Yes,"943,320",1.9
MU,Micron Technology Inc,$411.66,$463B (Large),Yes,"40,907,000",1.51
MUSA,Murphy USA Inc,$407.45,$8B (Small),Yes,"495,830",0.4
MZTI,Marzetti Co,$159.74,$4B (Small),Yes,"287,440",0.42
NBIX,Neurocrine Biosciences Inc,$124.12,$12B (Mid),Yes,"1,525,080",0.33
NDSN,Nordson Corp,$298.19,$17B (Mid),Yes,"493,510",0.98
NEM,Newmont Corporation,$125.80,$137B (Large),Yes,"9,929,150",0.41
NET,Cloudflare Inc,$195.85,$69B (Large),Yes,"7,693,780",1.95
NICE,Nice Ltd,$103.55,$6B (Small),Yes,"1,176,500",0.97
NOC,NORTHROP GRUMMAN CORP,$702.57,$100B (Large),Yes,"941,520",0.04
NOVT,Novanta Inc,$146.39,$5B (Small),Yes,"392,350",1.59
NOW,ServiceNow Inc,$107.08,$112B (Large),Yes,"28,229,990",0.99
NPO,Enpro Inc,$272.63,$6B (Small),Yes,"261,500",1.54
NRG,NRG Energy Inc,$172.35,$33B (Mid),Yes,"2,292,780",1.25
NSC,Norfolk Southern Corp,$314.94,$71B (Large),Yes,"1,359,600",1.3
NTAP,NetApp Inc,$102.42,$20B (Mid),Yes,"2,459,760",1.37
NTES,NetEase Inc,$120.61,$76B (Large),Yes,"1,152,530",0.74
NTRA,Natera Inc,$206.23,$29B (Mid),Yes,"1,284,560",1.65
NTRS,Northern Trust Corp,$146.38,$27B (Mid),Yes,"1,254,850",1.28
NUE,Nucor Corp,$183.23,$42B (Large),Yes,"2,005,090",1.83
NUVL,Nuvalent Inc,$100.82,$8B (Mid),Yes,"482,350",1.33
NVDA,NVIDIA Corp,$182.81,$4T (Large),Yes,"184,365,230",2.32
NVMI,Nova Ltd,$443.76,$13B (Mid),Yes,"487,970",1.82
NVS,Novartis AG,$163.10,$313B (Large),Yes,"3,031,540",0.48
NVT,nVent Electric PLC,$113.25,$18B (Mid),Yes,"3,295,270",1.31
NXPI,NXP Semiconductors NV,$244.43,$62B (Large),Yes,"4,172,730",1.43
NXST,Nexstar Media Group Inc,$231.18,$7B (Small),Yes,"455,910",0.79
OC,Owens Corning,$134.19,$11B (Mid),Yes,"1,458,920",1.32
ODFL,Old Dominion Freight Line Inc,$193.21,$40B (Mid),Yes,"3,617,240",1.24
OLED,Universal Display Corp,$124.90,$6B (Small),Yes,"994,290",1.62
OLLI,Ollie's Bargain Outlet Holdings Inc,$113.70,$7B (Small),Yes,"868,660",0.52
ONTO,Onto Innovation Inc,$217.23,$11B (Mid),Yes,"984,120",1.46
ORA,Ormat Technologies Inc,$118.19,$7B (Small),Yes,"678,620",0.82
ORCL,Oracle Corp,$160.14,$460B (Large),Yes,"36,220,580",1.63
OSIS,OSI Systems Inc,$268.61,$4B (Small),Yes,"260,800",1.32
OSK,Oshkosh Corp,$171.08,$11B (Mid),Yes,"1,078,900",1.36
PAG,Penske Automotive Group Inc,$171.35,$11B (Mid),Yes,"344,000",0.88
PANW,Palo Alto Networks Inc,$166.95,$135B (Large),Yes,"17,502,790",0.76
PATK,Patrick Industries Inc,$143.10,$5B (Small),Yes,"429,470",1.28
PAYC,Paycom Software Inc,$125.31,$7B (Small),Yes,"2,345,430",0.81
PCAR,Paccar Inc,$127.00,$67B (Large),Yes,"3,759,700",1.03
PCTY,Paylocity Holding Corp,$107.13,$6B (Small),Yes,"1,593,450",0.59
PEN,Penumbra Inc,$339.30,$13B (Mid),Yes,"973,750",0.82
PEP,PepsiCo Inc,$165.94,$227B (Large),Yes,"11,528,470",0.4
PG,Procter & Gamble Co,$160.07,$372B (Large),Yes,"11,775,690",0.37
PGR,Progressive Corp,$204.53,$120B (Large),Yes,"3,746,720",0.32
PH,Parker-Hannifin Corp,"$1,001.75",$126B (Large),Yes,"729,190",1.22
PHM,Pultegroup Inc,$142.56,$27B (Mid),Yes,"2,071,490",1.31
PI,Impinj Inc,$121.04,$4B (Small),Yes,"1,200,740",1.57
PJT,PJT Partners Inc,$154.24,$6B (Small),Yes,"485,500",0.86
PKG,Packaging Corp of America,$246.31,$22B (Mid),Yes,"1,009,830",0.87
PLD,Prologis Inc,$138.97,$129B (Large),Yes,"3,294,510",1.42
PLMR,Palomar Holdings Inc,$132.10,$4B (Small),Yes,"394,840",0.44
PLTR,Palantir Technologies Inc,$131.41,$313B (Large),Yes,"74,596,060",1.71
PLXS,Plexus Corp,$201.28,$5B (Small),Yes,"419,860",0.8
PM,Philip Morris International Inc,$187.51,$292B (Large),Yes,"6,421,470",0.4
PNC,PNC Financial Services Group Inc,$229.32,$89B (Large),Yes,"2,823,410",0.96
PNR,Pentair PLC,$101.37,$17B (Mid),Yes,"2,787,910",1.23
PODD,Insulet Corp,$242.74,$17B (Mid),Yes,"1,014,480",1.42
POOL,Pool Corp,$265.83,$10B (Mid),Yes,"775,460",1.21
POST,Post Holdings Inc,$111.90,$5B (Small),Yes,"1,299,480",0.43
POWL,Powell Industries Inc,$585.07,$7B (Small),Yes,"414,700",0.79
PPG,PPG Industries Inc,$131.34,$29B (Mid),Yes,"2,188,270",1.12
PRAX,Praxis Precision Medicines Inc,$317.25,$9B (Mid),Yes,"462,850",2.89
PRI,Primerica Inc,$250.89,$8B (Mid),Yes,"296,390",0.92
PRIM,Primoris Services Corp,$166.53,$9B (Mid),Yes,"722,090",1.34
PRU,Prudential Financial Inc,$104.61,$36B (Mid),Yes,"3,229,230",0.96
PSA,Public Storage,$300.35,$53B (Large),Yes,"1,212,540",1.0
PSX,Phillips 66,$159.77,$64B (Large),Yes,"2,624,430",0.84
PTC,PTC Inc,$156.77,$19B (Mid),Yes,"1,724,760",1.03
PWR,Quanta Services Inc,$524.08,$78B (Large),Yes,"1,191,940",1.11
QCOM,Qualcomm Inc,$140.70,$150B (Large),Yes,"14,129,710",1.25
QLYS,Qualys Inc,$104.91,$4B (Small),Yes,"983,350",0.61
R,Ryder System Inc,$213.77,$8B (Mid),Yes,"526,980",0.92
RBA,RB Global Inc,$102.00,$19B (Mid),Yes,"1,869,750",0.58
RBC,RBC Bearings Inc,$552.44,$17B (Mid),Yes,"278,270",1.47
RCL,Royal Caribbean Cruises Ltd,$319.61,$86B (Large),Yes,"2,094,390",1.87
REGN,Regeneron Pharmaceuticals Inc,$803.17,$85B (Large),Yes,"835,450",0.39
RGA,Reinsurance Group of America Inc,$219.74,$14B (Mid),Yes,"598,110",0.49
RGEN,Repligen Corp,$136.44,$8B (Mid),Yes,"853,350",1.14
RGLD,Royal Gold Inc,$286.10,$24B (Mid),Yes,"944,710",0.48
RH,RH,$205.06,$4B (Small),Yes,"820,120",2.1
RHP,Ryman Hospitality Properties Inc,$100.52,$6B (Small),Yes,"496,630",1.17
RJF,Raymond James Financial Inc,$158.68,$31B (Mid),Yes,"1,877,080",1.0
RL,Ralph Lauren Corp,$369.18,$22B (Mid),Yes,"954,290",1.47
RMBS,Rambus Inc,$101.95,$11B (Mid),Yes,"4,412,290",1.54
RMD,Resmed Inc,$252.55,$37B (Mid),Yes,"1,462,660",0.88
RNR,Renaissancere Holdings Ltd,$301.37,$13B (Mid),Yes,"541,570",0.21
ROAD,Construction Partners Inc,$133.93,$8B (Small),Yes,"826,910",0.82
ROK,Rockwell Automation Inc,$394.37,$44B (Large),Yes,"1,555,820",1.54
ROP,Roper Technologies Inc,$321.41,$34B (Mid),Yes,"2,385,670",0.96
ROST,Ross Stores Inc,$196.54,$64B (Large),Yes,"2,431,980",0.98
RPM,RPM International Inc,$118.21,$15B (Mid),Yes,"1,178,150",1.07
RRX,Regal Rexnord Corp,$220.19,$15B (Mid),Yes,"2,009,870",1.04
RS,Reliance Inc,$343.43,$18B (Mid),Yes,"391,730",0.89
RSG,Republic Services Inc,$223.17,$69B (Large),Yes,"1,531,240",0.55
RTX,RTX Corp,$200.06,$269B (Large),Yes,"6,457,680",0.42
RY,Royal Bank of Canada,$169.47,$237B (Large),Yes,"1,466,320",0.78
SAIA,Saia Inc,$384.91,$10B (Mid),Yes,"816,030",2.04
SANM,Sanmina Corp,$145.81,$8B (Mid),Yes,"886,510",1.02
SAP,SAP SE,$204.53,$239B (Large),Yes,"4,571,520",1.17
SATS,EchoStar Corp,$113.15,$33B (Mid),Yes,"4,818,600",1.02
SBAC,SBA Communications Corp,$200.77,$21B (Mid),Yes,"965,290",0.84
SCCO,Southern Copper Corp,$198.00,$164B (Large),Yes,"2,427,540",1.06
SE,Sea Ltd,$106.74,$63B (Large),Yes,"7,406,100",1.6
SF,Stifel Financial Corp,$119.00,$12B (Mid),Yes,"1,344,980",1.12
SHOP,Shopify Inc,$112.70,$147B (Large),Yes,"24,062,330",2.84
SHW,Sherwin-Williams Co,$368.89,$91B (Large),Yes,"2,070,480",1.25
SIMO,Silicon Motion Technology Corp,$136.28,$5B (Small),Yes,"922,170",0.99
SITE,SiteOne Landscape Supply Inc,$157.04,$7B (Small),Yes,"843,140",1.57
SITM,SiTime Corp,$420.23,$11B (Mid),Yes,"510,380",2.5
SJM,J M Smucker Co,$110.53,$12B (Mid),Yes,"1,698,550",0.22
SKYW,SkyWest Inc,$104.17,$4B (Small),Yes,"257,700",1.58
SLAB,Silicon Laboratories Inc,$207.27,$7B (Small),Yes,"2,079,500",1.42
SNA,Snap-On Inc,$384.61,$20B (Mid),Yes,"496,170",0.77
SNEX,StoneX Group Inc,$127.42,$7B (Small),Yes,"549,780",0.42
SNOW,Snowflake Inc,$182.29,$62B (Large),Yes,"9,205,430",1.15
SNPS,Synopsys Inc,$437.09,$84B (Large),Yes,"2,936,170",1.14
SNX,TD Synnex Corp,$161.54,$13B (Mid),Yes,"753,520",1.36
SPG,Simon Property Group Inc,$196.83,$68B (Large),Yes,"1,925,800",1.38
SPGI,S&P Global Inc,$409.54,$122B (Large),Yes,"5,365,670",1.25
SPHR,Sphere Entertainment Co,$115.70,$4B (Small),Yes,"941,670",1.61
SPOT,Spotify Technology SA,$458.34,$94B (Large),Yes,"5,726,910",1.68
SPXC,SPX Technologies Inc,$239.00,$12B (Mid),Yes,"374,180",1.28
SSB,SouthState Bank Corp,$104.11,$10B (Mid),Yes,"834,910",0.71
SSD,Simpson Manufacturing Co Inc,$209.01,$9B (Mid),Yes,"327,120",1.32
STE,STERIS plc,$248.35,$24B (Mid),Yes,"1,237,070",1.05
STLD,Steel Dynamics Inc,$191.68,$28B (Mid),Yes,"1,580,620",1.43
STRL,Sterling Infrastructure Inc,$437.77,$13B (Mid),Yes,"536,750",1.46
STT,State Street Corp,$127.97,$36B (Mid),Yes,"1,996,690",1.44
STX,Seagate Technology Holdings PLC,$425.99,$93B (Large),Yes,"4,716,000",1.62
STZ,Constellation Brands Inc,$149.30,$26B (Mid),Yes,"2,651,250",0.45
SUI,Sun Communities Inc,$130.79,$16B (Mid),Yes,"944,840",0.89
SYK,Stryker Corp,$366.05,$140B (Large),Yes,"2,401,550",0.87
TCBI,Texas Capital Bancshares Inc,$103.42,$5B (Small),Yes,"530,710",0.64
TDG,TransDigm Group Inc,"$1,286.67",$73B (Large),Yes,"553,050",0.94
TDY,Teledyne Technologies Inc,$660.29,$31B (Mid),Yes,"413,030",1.0
TEL,TE Connectivity PLC,$236.19,$69B (Large),Yes,"2,741,900",1.22
TER,Teradyne Inc,$314.66,$49B (Large),Yes,"5,402,750",1.75
TFX,Teleflex Inc,$103.75,$5B (Small),Yes,"961,360",0.9
TGT,Target Corp,$115.76,$52B (Large),Yes,"7,089,740",1.11
THC,Tenet Healthcare Corp,$231.10,$20B (Mid),Yes,"1,566,720",1.39
THG,Hanover Insurance Group Inc,$171.80,$6B (Small),Yes,"421,550",0.33
THO,Thor Industries Inc,$114.79,$6B (Small),Yes,"508,070",1.4
TJX,TJX Companies Inc,$154.46,$172B (Large),Yes,"5,773,600",0.73
TKO,TKO Group Holdings Inc,$206.75,$40B (Mid),Yes,"778,160",0.68
TKR,Timken Co,$107.84,$8B (Small),Yes,"1,227,930",1.17
TM,Toyota Motor Corp,$248.29,$324B (Large),Yes,"335,630",0.61
TMDX,Transmedics Group Inc,$129.84,$4B (Small),Yes,"590,780",1.99
TMO,Thermo Fisher Scientific Inc,$504.82,$190B (Large),Yes,"2,838,230",0.97
TMUS,T-Mobile US Inc,$219.50,$242B (Large),Yes,"8,248,590",0.41
TOL,Toll Brothers Inc,$166.12,$16B (Mid),Yes,"1,351,520",1.43
TPB,Turning Point Brands Inc,$131.77,$3B (Small),Yes,"269,350",0.86
TPL,Texas Pacific Land Corp,$432.31,$30B (Mid),Yes,"500,680",0.86
TPR,Tapestry Inc,$153.80,$31B (Mid),Yes,"3,351,440",1.56
TRGP,Targa Resources Corp,$223.89,$48B (Large),Yes,"1,329,880",0.85
TRV,Travelers Companies Inc,$294.21,$64B (Large),Yes,"1,943,260",0.51
TSEM,Tower Semiconductor Ltd,$128.74,$14B (Mid),Yes,"3,244,780",0.9
TSLA,Tesla Inc,$417.44,$2T (Large),Yes,"61,539,380",1.89
TSM,Taiwan Semiconductor Manufacturing Co Ltd,$366.36,$2T (Large),Yes,"15,018,460",1.29
TT,Trane Technologies PLC,$465.27,$103B (Large),Yes,"1,546,610",1.18
TTC,Toro Co,$100.09,$10B (Mid),Yes,"790,820",0.79
TTWO,Take-Two Interactive Software Inc,$193.67,$36B (Mid),Yes,"4,252,900",0.95
TW,Tradeweb Markets Inc,$113.41,$24B (Mid),Yes,"2,013,670",0.78
TWLO,Twilio Inc,$113.00,$17B (Mid),Yes,"3,899,010",1.31
TXN,Texas Instruments Inc,$226.16,$205B (Large),Yes,"9,835,360",0.98
TXRH,Texas Roadhouse Inc,$180.90,$12B (Mid),Yes,"870,280",0.87
TYL,Tyler Technologies Inc,$303.94,$13B (Mid),Yes,"1,304,270",0.93
UAL,United Airlines Holdings Inc,$109.29,$35B (Mid),Yes,"6,126,120",1.24
UFPI,UFP Industries Inc,$114.60,$7B (Small),Yes,"374,640",1.45
UHS,Universal Health Services Inc,$234.81,$15B (Mid),Yes,"720,800",1.23
ULTA,Ulta Beauty Inc,$683.40,$30B (Mid),Yes,"496,230",0.82
UMBF,UMB Financial Corp,$128.77,$10B (Mid),Yes,"562,300",0.77
UNH,UnitedHealth Group Inc,$293.19,$266B (Large),Yes,"10,163,370",0.41
UNP,Union Pacific Corp,$260.68,$155B (Large),Yes,"4,713,270",0.96
UPS,United Parcel Service Inc,$119.24,$101B (Large),Yes,"7,395,850",1.05
URI,United Rentals Inc,$869.57,$55B (Large),Yes,"861,250",1.65
UTHR,United Therapeutics Corp,$473.66,$20B (Mid),Yes,"305,990",0.85
V,Visa Inc,$314.08,$599B (Large),Yes,"8,581,980",0.78
VC,Visteon Corp,$104.94,$3B (Small),Yes,"610,290",1.12
VEEV,Veeva Systems Inc,$174.11,$29B (Mid),Yes,"2,975,160",1.1
VICR,Vicor Corp,$155.96,$7B (Small),Yes,"621,970",1.9
VLO,Valero Energy Corp,$200.17,$61B (Large),Yes,"3,028,090",0.7
VMC,Vulcan Materials Co,$327.65,$43B (Large),Yes,"1,263,710",1.03
VRSK,Verisk Analytics Inc,$181.21,$25B (Mid),Yes,"3,363,000",0.84
VRSN,"VeriSign, Inc",$219.03,$20B (Mid),Yes,"1,156,840",0.77
VRT,Vertiv Holdings Co,$234.53,$90B (Large),Yes,"8,353,780",2.03
VRTX,Vertex Pharmaceuticals Inc,$491.47,$125B (Large),Yes,"1,697,400",0.31
VSEC,VSE Corp,$202.66,$6B (Small),Yes,"1,079,390",1.36
VST,Vistra Corp,$171.49,$58B (Large),Yes,"6,964,420",1.43
WAB,Westinghouse Air Brake Technologies Corp,$256.06,$44B (Large),Yes,"1,112,140",0.99
WAT,Waters Corp,$323.37,$32B (Mid),Yes,"1,997,780",1.2
WCC,Wesco International Inc,$307.10,$15B (Mid),Yes,"994,150",1.44
WCN,Waste Connections Inc,$160.26,$41B (Mid),Yes,"1,970,160",0.63
WDAY,Workday Inc,$144.42,$38B (Mid),Yes,"5,799,790",1.16
WDC,Western Digital Corp,$281.58,$95B (Large),Yes,"12,029,260",1.75
WEC,WEC Energy Group Inc,$115.79,$38B (Mid),Yes,"3,025,080",0.57
WELL,Welltower Inc,$210.72,$147B (Large),Yes,"3,614,750",0.8
WEX,WEX Inc,$157.67,$5B (Small),Yes,"766,930",0.96
WFRD,Weatherford International PLC,$101.42,$7B (Small),Yes,"1,308,580",0.75
WING,Wingstop Inc,$221.65,$6B (Small),Yes,"848,500",1.85
WLDN,Willdan Group Inc,$117.33,$2B (Micro),Yes,"320,400",1.0
WLK,Westlake Corp,$100.08,$13B (Mid),Yes,"1,497,400",0.82
WM,Waste Management Inc,$234.52,$95B (Large),Yes,"2,377,250",0.57
WMS,Advanced Drainage Systems Inc,$170.98,$13B (Mid),Yes,"982,350",1.26
WMT,Walmart Inc,$133.89,$1T (Large),Yes,"27,647,700",0.64
WPM,Wheaton Precious Metals Corp,$145.90,$66B (Large),Yes,"2,664,480",0.52
WSM,Williams-Sonoma Inc,$214.57,$26B (Mid),Yes,"1,040,730",1.63
WSO,Watsco Inc,$417.92,$15B (Mid),Yes,"492,840",1.01
WST,West Pharmaceutical Services Inc,$250.49,$18B (Mid),Yes,"1,350,710",1.16
WTFC,Wintrust Financial Corp,$153.74,$10B (Mid),Yes,"637,750",0.84
WTS,Watts Water Technologies Inc,$328.53,$11B (Mid),Yes,"261,560",1.22
WTW,Willis Towers Watson PLC,$287.74,$27B (Mid),Yes,"1,672,020",0.64
WWD,Woodward Inc,$379.39,$23B (Mid),Yes,"1,049,040",0.96
WYNN,Wynn Resorts Ltd,$113.39,$12B (Mid),Yes,"1,970,920",1.0
XOM,Exxon Mobil Corp,$148.45,$620B (Large),Yes,"24,139,500",0.35
XPO,XPO Inc,$195.33,$23B (Mid),Yes,"3,673,800",1.98
XYL,Xylem Inc,$128.09,$31B (Mid),Yes,"2,468,790",1.18
YUM,Yum! Brands Inc,$160.57,$45B (Large),Yes,"2,377,050",0.65
ZBRA,Zebra Technologies Corp,$264.62,$13B (Mid),Yes,"1,039,420",1.62
ZS,Zscaler Inc,$177.72,$28B (Mid),Yes,"2,736,960",1.04
ZTS,Zoetis Inc,$126.65,$53B (Large),Yes,"5,098,650",0.95
AA,Alcoa Corp,$59.95,$16B (Mid),Yes,"8,081,550",1.85
AAMI,Acadian Asset Management Inc,$51.85,$2B (Micro),Yes,"329,140",1.33
AAOI,Applied Optoelectronics Inc,$44.46,$3B (Small),Yes,"5,181,160",3.34
AAP,Advance Auto Parts Inc,$58.85,$4B (Small),Yes,"2,493,680",1.1
AB,AllianceBernstein Holding LP,$40.84,$4B (Small),Yes,"679,810",0.85
ABCB,Ameris Bancorp,$84.02,$6B (Small),Yes,"561,490",0.96
ABM,ABM Industries Inc,$44.51,$3B (Small),Yes,"480,550",0.73
ACGL,Arch Capital Group Ltd,$98.38,$35B (Mid),Yes,"2,141,580",0.4
ACIW,ACI Worldwide Inc,$39.56,$4B (Small),Yes,"1,013,860",1.07
ACLS,Axcelis Technologies Inc,$94.55,$3B (Small),Yes,"784,950",1.74
ACLX,Arcellx Inc,$68.50,$4B (Small),Yes,"705,340",0.36
ACM,AECOM,$88.31,$11B (Mid),Yes,"2,326,030",1.08
ACMR,ACM Research Inc,$64.84,$4B (Small),Yes,"1,865,870",1.45
ACT,Enact Holdings Inc,$43.29,$6B (Small),Yes,"417,420",0.52
ADC,Agree Realty Corp,$78.08,$9B (Mid),Yes,"1,518,000",0.52
ADM,Archer-Daniels-Midland Co,$69.51,$33B (Mid),Yes,"4,438,450",0.67
ADNT,Adient PLC,$27.09,$2B (Micro),Yes,"1,335,850",1.52
AEHR,Aehr Test Systems,$28.84,$883M (Micro),Yes,"1,571,950",2.28
AEO,American Eagle Outfitters Inc,$25.48,$4B (Small),Yes,"4,674,430",1.36
AFRM,Affirm Holdings Inc,$49.81,$17B (Mid),Yes,"10,376,740",3.61
AGIO,Agios Pharmaceuticals Inc,$27.96,$2B (Micro),Yes,"896,650",0.9
AGO,Assured Guaranty Ltd,$86.34,$4B (Small),Yes,"250,940",0.9
AGYS,Agilysys Inc,$81.50,$2B (Small),Yes,"377,650",0.34
AIG,American International Group Inc,$78.27,$42B (Large),Yes,"4,448,010",0.59
AL,Air Lease Corp,$64.73,$7B (Small),Yes,"1,803,000",1.12
ALGM,Allegro Microsystems Inc,$42.38,$8B (Mid),Yes,"2,800,460",1.6
ALK,Alaska Air Group Inc,$55.27,$6B (Small),Yes,"3,411,300",1.15
ALKS,Alkermes Plc,$33.16,$5B (Small),Yes,"1,541,350",0.46
ALRM,Alarm.com Holdings Inc,$46.38,$2B (Small),Yes,"466,290",0.8
AMBA,Ambarella Inc,$66.21,$3B (Small),Yes,"726,150",1.92
AMCR,Amcor PLC,$50.09,$23B (Mid),Yes,"7,663,040",0.63
AMH,American Homes 4 Rent,$31.62,$12B (Mid),Yes,"3,839,930",0.8
AMKR,Amkor Technology Inc,$47.48,$12B (Mid),Yes,"6,342,640",1.94
AMPH,Amphastar Pharmaceuticals Inc,$28.50,$1B (Micro),Yes,"337,150",0.86
AMRC,Ameresco Inc,$32.68,$2B (Micro),Yes,"510,180",2.51
AMSC,American Superconductor Corp,$34.26,$2B (Micro),Yes,"2,007,580",2.96
ANAB,AnaptysBio Inc,$53.08,$1B (Micro),Yes,"567,470",0.33
ANDE,Andersons Inc,$69.03,$2B (Small),Yes,"283,560",0.74
ANF,Abercrombie & Fitch Co,$93.70,$4B (Small),Yes,"1,342,150",1.17
ANIP,ANI Pharmaceuticals Inc,$77.36,$2B (Micro),Yes,"340,460",0.52
AORT,Artivion Inc,$36.60,$2B (Micro),Yes,"489,960",1.6
AOS,A O Smith Corp,$80.46,$11B (Mid),Yes,"1,521,880",1.32
APA,APA Corp (US),$27.92,$10B (Mid),Yes,"6,569,150",0.68
APAM,Artisan Partners Asset Management Inc,$42.59,$3B (Small),Yes,"702,900",1.75
APG,APi Group Corp,$44.41,$19B (Mid),Yes,"2,301,680",1.69
APLD,Applied Digital Corp,$35.28,$10B (Mid),Yes,"28,800,360",7.18
APTV,Aptiv PLC,$85.20,$18B (Mid),Yes,"2,411,020",1.46
AR,Antero Resources Corp,$34.76,$11B (Mid),Yes,"6,223,860",0.54
ARE,Alexandria Real Estate Equities Inc,$52.49,$9B (Mid),Yes,"2,235,590",1.32
ARLP,Alliance Resource Partners LP,$25.82,$3B (Small),Yes,"668,380",0.28
ARMK,Aramark,$38.98,$10B (Mid),Yes,"6,205,790",1.07
AROC,Archrock Inc,$32.66,$6B (Small),Yes,"1,934,330",0.88
ARQT,Arcutis Biotherapeutics Inc,$25.86,$3B (Small),Yes,"1,176,780",1.68
ARWR,Arrowhead Pharmaceuticals Inc,$63.82,$9B (Mid),Yes,"5,067,310",1.24
ASB,Associated Banc-Corp,$27.85,$5B (Small),Yes,"2,481,600",0.79
ASGN,ASGN Inc,$41.43,$2B (Micro),Yes,"977,760",0.89
ASH,Ashland Inc,$60.93,$3B (Small),Yes,"813,480",0.42
ASO,Academy Sports and Outdoors Inc,$58.56,$4B (Small),Yes,"1,281,840",1.23
ASTS,AST SpaceMobile Inc,$82.51,$30B (Mid),Yes,"15,973,620",2.77
ATEX,Anterix Inc,$31.89,$597M (Micro),Yes,"490,430",0.78
ATGE,Adtalem Global Education Inc,$95.52,$3B (Small),Yes,"480,530",0.73
ATKR,Atkore Inc,$66.66,$2B (Small),Yes,"363,240",1.53
ATRC,AtriCure Inc,$32.65,$2B (Micro),Yes,"937,170",1.42
ATRO,Astronics Corp,$76.94,$2B (Small),Yes,"590,230",1.07
AUB,Atlantic Union Bankshares Corp,$40.23,$6B (Small),Yes,"976,000",0.8
AUGO,Aura Minerals Inc,$72.36,$6B (Small),Yes,"1,186,490",0.3
AVA,Avista Corp,$43.08,$4B (Small),Yes,"597,710",0.25
AVNT,Avient Corp,$42.75,$4B (Small),Yes,"961,520",1.39
AVT,Avnet Inc,$65.79,$5B (Small),Yes,"1,540,310",0.92
AWR,American States Water Co,$74.89,$3B (Small),Yes,"254,370",0.68
AX,Axos Financial Inc,$97.28,$6B (Small),Yes,"452,410",1.26
AXGN,AxoGen Inc,$33.23,$2B (Micro),Yes,"856,890",0.97
AXTA,Axalta Coating Systems Ltd,$34.13,$7B (Small),Yes,"4,032,180",1.28
AZTA,Azenta Inc,$28.62,$1B (Micro),Yes,"1,221,890",1.39
B,Barrick Mining Corp,$47.91,$83B (Large),Yes,"18,782,900",0.42
BAC,Bank of America Corp,$52.55,$379B (Large),Yes,"42,228,340",1.27
