"Symbol","Description","Price","Optionable Stocks","Beta","Market Capitalization","Average Volume (10 Day)"
"AVNT","Avient Corp","$42.75","Yes","1.39","$4B (Small)","1,105,660"
"AVPT","AvePoint Inc","$10.56","Yes","1.13","$2B (Small)","2,344,870"
"AVT","Avnet Inc","$65.79","Yes","0.92","$5B (Small)","1,632,050"
"AVTR","Avantor Inc","$9.20","Yes","0.98","$6B (Small)","17,019,600"
"AWR","American States Water Co","$74.89","Yes","0.69","$3B (Small)","263,170"
"AXTA","Axalta Coating Systems Ltd","$34.13","Yes","1.28","$7B (Small)","3,879,730"
"B","Barrick Mining Corp","$47.91","Yes","0.43","$83B (Large)","20,195,840"
"BAC","Bank of America Corp","$52.55","Yes","1.27","$379B (Large)","42,506,050"
"BAH","Booz Allen Hamilton Holding Corp","$79.32","Yes","0.38","$10B (Mid)","2,490,440"
"BALL","Ball Corp","$67.29","Yes","1.09","$18B (Mid)","3,219,760"
"BANC","Banc of California Inc","$20.00","Yes","0.71","$3B (Small)","3,814,940"
"BANR","Banner Corp","$64.20","Yes","0.87","$2B (Small)","304,110"
"BAX","Baxter International Inc","$19.79","Yes","0.59","$10B (Mid)","11,526,950"
"BBAR","Banco BBVA Argentina SA","$16.18","Yes","1.13","$3B (Small)","729,840"
"BBIO","BridgeBio Pharma Inc","$75.25","Yes","1.10","$15B (Mid)","3,781,550"
"BBT","Beacon Financial Corp","$30.68","Yes","0.65","$3B (Small)","999,880"
"BBVA","Banco Bilbao Vizcaya Argentaria SA","$22.73","Yes","0.85","$128B (Large)","2,469,790"
"BBWI","Bath & Body Works Inc","$24.07","Yes","1.47","$5B (Small)","4,547,520"
"BBY","Best Buy Co Inc","$65.80","Yes","1.46","$14B (Mid)","4,432,100"
"BC","Brunswick Corp","$87.04","Yes","1.36","$6B (Small)","846,930"
"BCC","Boise Cascade Co","$86.50","Yes","1.24","$3B (Small)","411,840"
"BCE","BCE Inc","$25.71","Yes","0.64","$24B (Mid)","4,837,520"
"BCH","Banco de Chile","$43.52","Yes","0.19","$22B (Mid)","445,110"
"BCS","Barclays PLC","$25.31","Yes","0.95","$87B (Large)","7,115,960"
"BEAM","Beam Therapeutics Inc","$27.92","Yes","2.12","$3B (Small)","1,499,890"
"BEN","Franklin Resources Inc","$27.03","Yes","1.48","$14B (Mid)","8,238,650"
"BEPC","Brookfield Renewable Corp","$43.84","Yes","1.22","$8B (Mid)","1,041,370"
"BF/B","Brown-Forman Corp","$29.95","Yes","0.37","$9B (Mid)","4,704,550"
"BFAM","Bright Horizons Family Solutions Inc","$66.90","Yes","1.41","$4B (Small)","968,470"
"BFH","Bread Financial Holdings Inc","$72.37","Yes","1.20","$3B (Small)","961,930"
"BGC","Bgc Group Inc","$9.21","Yes","1.00","$4B (Small)","3,160,710"
"BHC","Bausch Health Companies Inc","$5.99","Yes","0.37","$2B (Small)","1,887,220"
"BHF","Brighthouse Financial Inc","$63.84","Yes","0.96","$4B (Small)","591,360"
"BHP","BHP Group Ltd","$73.38","Yes","0.78","$186B (Large)","4,782,040"
"BILI","Bilibili Inc","$30.60","Yes","0.74","$10B (Mid)","2,524,440"
"BILL","BILL Holdings Inc","$46.99","Yes","1.24","$5B (Small)","5,782,310"
"BIP","Brookfield Infrastructure Partners LP","$38.75","Yes","1.08","$25B (Mid)","856,330"
"BIPC","Brookfield Infrastructure Corp","$49.56","Yes","1.33","$7B (Small)","692,140"
"BKD","Brookdale Senior Living Inc","$16.51","Yes","0.66","$4B (Small)","6,915,530"
"BKE","Buckle Inc","$53.45","Yes","1.15","$3B (Small)","495,930"
"BKH","Black Hills Corp","$74.05","Yes","0.73","$6B (Small)","1,272,250"
"BKR","Baker Hughes Co","$61.20","Yes","0.84","$60B (Large)","10,012,720"
"BKU","BankUnited Inc","$48.73","Yes","1.28","$4B (Small)","963,390"
"BL","BlackLine Inc","$38.61","Yes","0.90","$2B (Small)","1,579,470"
"BLCO","Bausch + Lomb Corp","$17.03","Yes","0.60","$6B (Small)","329,200"
"BLKB","Blackbaud Inc","$49.08","Yes","1.12","$2B (Small)","677,740"
"BMA","Banco Macro SA","$86.59","Yes","1.54","$5B (Small)","251,780"
"BMNR","Bitmine Immersion Technologies Inc","$20.96","Yes","1.30","$10B (Mid)","51,377,360"
"BMRN","BioMarin Pharmaceutical Inc","$59.87","Yes","0.25","$12B (Mid)","2,226,260"
"BMY","Bristol-Myers Squibb Co","$60.74","Yes","0.27","$124B (Large)","15,153,130"
"BNL","Broadstone Net Lease Inc","$19.64","Yes","1.01","$4B (Small)","1,746,660"
"BNS","Bank of Nova Scotia","$75.70","Yes","1.08","$93B (Large)","1,752,170"
"BOH","Bank of Hawaii Corp","$78.20","Yes","0.72","$3B (Small)","497,150"
"BOX","Box Inc","$23.19","Yes","0.81","$3B (Small)","3,275,510"
"BP","BP PLC","$37.66","Yes","0.31","$99B (Large)","11,923,170"
"BRKR","Bruker Corp","$36.51","Yes","1.21","$6B (Small)","2,625,090"
"BRO","Brown & Brown Inc","$68.47","Yes","0.79","$23B (Mid)","4,396,750"
"BROS","Dutch Bros Inc","$53.20","Yes","2.56","$9B (Mid)","7,870,790"
"BRSL","Brightstar Lottery PLC","$13.45","Yes","1.06","$3B (Small)","1,551,310"
"BRX","Brixmor Property Group Inc","$29.29","Yes","1.05","$9B (Mid)","3,636,220"
"BSAC","Banco Santander Chile","$35.65","Yes","0.60","$17B (Mid)","287,570"
"BSBR","Banco Santander Brasil SA","$6.59","Yes","0.61","$25B (Mid)","1,128,190"
"BSM","Black Stone Minerals LP","$15.20","Yes","0.16","$3B (Small)","365,310"
"BSX","Boston Scientific Corp","$74.73","Yes","0.71","$111B (Large)","28,071,150"
"BSY","Bentley Systems Inc","$34.10","Yes","1.20","$10B (Mid)","3,689,890"
"BTI","British American Tobacco plc","$59.50","Yes","0.32","$129B (Large)","5,688,190"
"BTU","Peabody Energy Corp","$34.45","Yes","0.51","$4B (Small)","3,370,990"
"BUSE","First Busey Corp","$26.55","Yes","0.74","$2B (Small)","850,850"
"BVN","Compania de Minas Buenaventura SAA","$37.96","Yes","0.30","$10B (Mid)","1,683,540"
"BWA","Borgwarner Inc","$62.80","Yes","0.99","$13B (Mid)","4,586,860"
"BWIN","Baldwin Insurance Group Inc","$16.50","Yes","1.37","$2B (Small)","1,866,240"
"BXMT","Blackstone Mortgage Trust Inc","$19.54","Yes","1.07","$3B (Small)","1,846,360"
"BXP","BXP Inc","$61.49","Yes","1.03","$10B (Mid)","3,058,960"
"BXSL","Blackstone Secured Lending Fund","$24.62","Yes","0.45","$6B (Small)","2,816,850"
"BYD","Boyd Gaming Corp","$81.99","Yes","1.21","$6B (Small)","1,186,320"
"BZ","Kanzhun Ltd","$17.32","Yes","0.43","$8B (Mid)","3,846,280"
"CAAP","Corporacion America Airports SA","$27.96","Yes","0.78","$5B (Small)","349,780"
"CAE","CAE Inc","$30.22","Yes","1.10","$10B (Mid)","706,380"
"CAKE","Cheesecake Factory Inc","$58.67","Yes","0.98","$3B (Small)","1,319,490"
"CALM","Cal-Maine Foods Inc","$83.44","Yes","0.25","$4B (Small)","1,186,090"
"CALX","Calix Inc","$53.32","Yes","1.48","$4B (Small)","1,836,100"
"CALY","Callaway Golf Co","$12.59","Yes","0.95","$2B (Small)","3,174,410"
"CARG","CarGurus Inc","$27.34","Yes","1.38","$3B (Small)","1,301,320"
"CARR","Carrier Global Corp","$65.40","Yes","1.31","$55B (Large)","10,266,870"
"CATY","Cathay General Bancorp","$53.33","Yes","0.84","$4B (Small)","417,780"
"CBSH","Commerce Bancshares Inc","$53.60","Yes","0.59","$8B (Mid)","1,415,880"
"CBT","Cabot Corp","$76.19","Yes","0.85","$4B (Small)","721,170"
"CBU","Community Financial System Inc","$66.34","Yes","0.79","$3B (Small)","276,680"
"CC","Chemours Co","$20.52","Yes","1.55","$3B (Small)","3,876,630"
"CCL","Carnival Corp","$31.77","Yes","2.41","$39B (Mid)","23,055,810"
"CCS","Century Communities Inc","$74.84","Yes","1.51","$2B (Small)","344,770"
"CDE","Coeur Mining Inc","$22.42","Yes","1.22","$14B (Mid)","27,597,510"
