"Symbol","Description","Price","Optionable Stocks","Beta","Market Capitalization","Average Volume (10 Day)"
"EXC","Exelon Corp","$48.48","Yes","0.44","$50B (Large)","10,091,910"
"EXEL","Exelixis Inc","$43.92","Yes","0.42","$11B (Mid)","3,027,960"
"EXK","Endeavour Silver Corp","$11.75","Yes","1.22","$3B (Small)","14,345,060"
"EXLS","Exlservice Holdings Inc","$30.04","Yes","0.93","$5B (Small)","3,295,260"
"EXPO","Exponent Inc","$66.79","Yes","0.79","$3B (Small)","589,390"
"EYE","National Vision Holdings Inc","$28.22","Yes","1.39","$2B (Small)","1,177,920"
"F","Ford Motor Co","$14.12","Yes","1.65","$56B (Large)","80,710,710"
"FAF","First American Financial Corp","$67.22","Yes","1.27","$7B (Small)","1,158,580"
"FAST","Fastenal Co","$46.41","Yes","0.87","$53B (Large)","10,023,510"
"FBIN","Fortune Brands Innovations Inc","$51.32","Yes","1.37","$6B (Small)","2,247,310"
"FBP","First BanCorp","$22.43","Yes","0.85","$4B (Small)","1,271,120"
"FCPT","Four Corners Property Trust Inc","$24.37","Yes","0.83","$3B (Small)","838,990"
"FCX","Freeport-McMoRan Inc","$62.84","Yes","1.42","$90B (Large)","23,285,040"
"FE","FirstEnergy Corp","$50.10","Yes","0.61","$29B (Mid)","5,710,380"
"FFBC","First Financial Bancorp","$30.31","Yes","0.97","$3B (Small)","1,024,510"
"FFIN","First Financial Bankshares Inc","$33.48","Yes","0.84","$5B (Small)","969,880"
"FHB","First Hawaiian Inc","$26.30","Yes","0.69","$3B (Small)","1,661,720"
"FHI","Federated Hermes Inc","$55.44","Yes","0.73","$4B (Small)","750,060"
"FHN","First Horizon Corp","$24.56","Yes","0.62","$12B (Mid)","8,204,420"
"FIBK","First Interstate Bancsystem Inc","$37.66","Yes","0.74","$4B (Small)","1,273,210"
"FIS","Fidelity National Information Services Inc","$46.80","Yes","0.93","$24B (Mid)","6,726,420"
"FISV","Fiserv Inc","$59.36","Yes","0.78","$32B (Mid)","10,866,590"
"FITB","Fifth Third Bancorp","$52.86","Yes","0.96","$48B (Large)","24,060,390"
"FIZZ","National Beverage Corp","$36.35","Yes","0.75","$3B (Small)","273,830"
"FLEX","Flex Ltd","$64.24","Yes","1.24","$24B (Mid)","5,324,810"
"FLG","Flagstar Bank NA","$14.18","Yes","1.06","$6B (Small)","6,214,510"
"FLNC","Fluence Energy Inc","$18.46","Yes","3.00","$3B (Small)","9,380,010"
"FLO","Flowers Foods Inc","$10.36","Yes","0.32","$2B (Small)","4,408,380"
"FLR","Fluor Corp","$45.48","Yes","1.38","$7B (Small)","2,661,170"
"FLS","Flowserve Corp","$89.69","Yes","1.27","$11B (Mid)","1,923,900"
"FNB","FNB Corp","$18.07","Yes","0.91","$6B (Small)","6,420,550"
"FND","Floor & Decor Holdings Inc","$70.20","Yes","1.72","$8B (Small)","2,543,060"
"FNF","Fidelity National Financial Inc","$56.74","Yes","0.99","$15B (Mid)","1,434,620"
"FOLD","Amicus Therapeutics Inc","$14.31","Yes","0.43","$4B (Small)","7,785,270"
"FOUR","Shift4 Payments Inc","$55.01","Yes","1.62","$5B (Small)","2,487,190"
"FOXA","Fox Corp","$56.35","Yes","0.56","$11B (Mid)","5,521,480"
"FR","First Industrial Realty Trust Inc","$58.92","Yes","1.14","$8B (Mid)","1,315,800"
"FRME","First Merchants Corp","$42.05","Yes","0.91","$3B (Small)","513,320"
"FRO","Frontline Plc","$30.92","Yes","0.05","$7B (Small)","2,777,400"
"FROG","Jfrog Ltd","$51.68","Yes","1.16","$6B (Small)","3,432,100"
"FRPT","Freshpet Inc","$67.72","Yes","1.70","$3B (Small)","1,125,790"
"FSK","FS KKR Capital Corp","$13.32","Yes","0.87","$4B (Small)","3,302,910"
"FSLY","Fastly Inc","$18.26","Yes","0.90","$3B (Small)","16,090,430"
"FTDR","Frontdoor Inc","$56.64","Yes","1.35","$4B (Small)","487,660"
"FTI","TechnipFMC PLC","$61.36","Yes","0.71","$25B (Mid)","4,023,870"
"FTNT","Fortinet Inc","$85.56","Yes","1.04","$64B (Large)","9,124,300"
"FTV","Fortive Corp","$56.90","Yes","1.10","$18B (Mid)","6,681,260"
"FUL","H.B. Fuller Company","$67.49","Yes","1.06","$4B (Small)","412,190"
"FULT","Fulton Financial Corp","$22.03","Yes","0.86","$4B (Small)","2,075,180"
"G","Genpact Ltd","$37.36","Yes","0.77","$6B (Small)","3,915,930"
"GAP","Gap Inc","$27.67","Yes","2.27","$10B (Mid)","5,893,690"
"GBCI","Glacier Bancorp Inc","$51.29","Yes","0.73","$7B (Small)","1,380,110"
"GBDC","Golub Capital BDC Inc","$12.63","Yes","0.45","$3B (Small)","3,425,650"
"GBTG","Global Business Travel Group Inc","$5.04","Yes","0.78","$3B (Small)","1,905,290"
"GCMG","GCM Grosvenor Inc","$12.04","Yes","0.81","$2B (Small)","789,940"
"GDDY","GoDaddy Inc","$89.12","Yes","0.96","$12B (Mid)","2,140,290"
"GDS","GDS Holdings Ltd","$46.12","Yes","0.36","$9B (Mid)","2,724,770"
"GEL","Genesis Energy LP","$17.54","Yes","0.79","$2B (Small)","319,700"
"GEN","Gen Digital Inc","$23.72","Yes","1.10","$14B (Mid)","9,056,970"
"GFI","Gold Fields Ltd","$54.60","Yes","0.71","$49B (Large)","3,768,660"
"GFS","GlobalFoundries Inc","$48.99","Yes","1.45","$27B (Mid)","4,497,420"
"GGAL","Grupo Financiero Galicia SA","$45.44","Yes","1.51","$6B (Small)","1,442,010"
"GIB","CGI Inc","$74.53","Yes","0.63","$16B (Mid)","661,330"
"GIL","Gildan Activewear Inc","$72.58","Yes","1.02","$13B (Mid)","1,241,760"
"GLBE","Global-E Online Ltd","$31.66","Yes","1.26","$5B (Small)","1,974,060"
"GLNG","Golar LNG Ltd","$43.44","Yes","0.17","$4B (Small)","1,347,160"
"GLOB","Globant SA","$49.40","Yes","1.22","$2B (Small)","1,808,910"
"GLPI","Gaming and Leisure Properties Inc","$46.40","Yes","0.67","$13B (Mid)","2,429,130"
"GLXY","Galaxy Digital Inc","$21.66","Yes","3.81","$8B (Mid)","10,547,970"
"GM","General Motors Co","$81.08","Yes","1.37","$73B (Large)","8,136,330"
"GMAB","Genmab A/S","$30.03","Yes","0.94","$18B (Mid)","1,311,750"
"GME","GameStop Corp","$23.57","Yes","2.11","$11B (Mid)","10,961,480"
"GMED","Globus Medical Inc","$88.09","Yes","1.07","$12B (Mid)","1,208,760"
"GNL","Global Net Lease Inc","$9.85","Yes","1.07","$2B (Small)","1,817,900"
"GNTX","Gentex Corp","$24.89","Yes","0.74","$5B (Small)","3,097,370"
"GNW","Genworth Financial Inc","$8.92","Yes","0.99","$4B (Small)","3,691,460"
"GPGI","GPGI Inc","$24.63","Yes","0.99","$7B (Small)","2,172,830"
"GPK","Graphic Packaging Holding Co","$12.42","Yes","0.66","$4B (Small)","12,014,290"
"GPN","Global Payments Inc","$68.48","Yes","0.75","$19B (Mid)","3,757,360"
"GRFS","Grifols SA","$9.32","Yes","0.66","$2B (Small)","460,900"
"GSAT","Globalstar Inc","$60.06","Yes","1.44","$8B (Mid)","561,300"
"GSK","GSK plc","$58.93","Yes","0.46","$120B (Large)","7,874,910"
"GT","Goodyear Tire & Rubber Co","$9.44","Yes","1.10","$3B (Small)","9,833,020"
"GTES","Gates Industrial Corporation PLC","$27.97","Yes","1.22","$7B (Small)","3,444,910"
"GTLB","GitLab Inc","$29.55","Yes","0.78","$5B (Small)","5,393,470"
"GTX","Garrett Motion Inc","$21.25","Yes","0.29","$4B (Small)","2,371,810"
"GXO","GXO Logistics Inc","$65.51","Yes","1.68","$8B (Small)","2,029,470"
"HAE","Haemonetics Corp","$57.76","Yes","0.30","$3B (Small)","1,299,940"
"HAL","Halliburton Co","$33.96","Yes","0.74","$28B (Mid)","13,022,710"
"HALO","Halozyme Therapeutics Inc","$79.44","Yes","0.96","$9B (Mid)","2,195,980"
"HASI","HA Sustainable Infrastructure Capital Inc","$39.70","Yes","1.45","$5B (Small)","1,064,010"
"HAYW","Hayward Holdings Inc","$16.71","Yes","1.12","$4B (Small)","2,011,280"
"HBAN","Huntington Bancshares Inc","$17.26","Yes","0.96","$35B (Mid)","58,739,320"
"HCC","Warrior Met Coal Inc","$86.28","Yes","0.69","$5B (Small)","1,098,900"
"HDB","HDFC Bank Ltd","$32.52","Yes","0.54","$167B (Large)","7,227,550"
"HE","Hawaiian Electric Industries Inc","$16.82","Yes","0.63","$3B (Small)","3,102,710"
"HESM","Hess Midstream LP","$36.68","Yes","0.59","$8B (Mid)","1,767,740"
"HGV","Hilton Grand Vacations Inc","$46.22","Yes","1.43","$4B (Small)","1,015,420"
"HHH","Howard Hughes Holdings Inc","$82.15","Yes","1.23","$5B (Small)","387,260"
"HIMS","Hims & Hers Health Inc","$16.30","Yes","2.56","$4B (Small)","46,747,710"
"HIW","Highwoods Properties Inc","$23.12","Yes","1.10","$3B (Small)","1,588,340"
"HL","Hecla Mining Co","$22.60","Yes","1.26","$15B (Mid)","26,399,640"
"HLIO","Helios Technologies Inc","$75.65","Yes","1.25","$3B (Small)","316,530"
"HLN","Haleon PLC","$11.20","Yes","0.17","$50B (Large)","7,202,590"
"HMC","Honda Motor Co Ltd","$31.78","Yes","0.38","$41B (Mid)","1,400,180"
"HMY","Harmony Gold Mining Company Ltd","$20.99","Yes","0.98","$13B (Mid)","6,020,760"
"HNI","HNI Corp","$50.03","Yes","0.90","$2B (Small)","517,790"
"HOG","Harley-Davidson Inc","$20.42","Yes","1.41","$2B (Small)","4,437,610"
"HOLX","Hologic Inc","$75.04","Yes","0.73","$17B (Mid)","2,820,640"
"HOMB","Home BancShares Inc","$29.35","Yes","0.76","$6B (Small)","1,455,000"
"HOOD","Robinhood Markets Inc","$75.97","Yes","2.50","$68B (Large)","50,308,840"
"HP","Helmerich and Payne Inc","$33.20","Yes","0.55","$3B (Small)","2,445,750"
"HPE","Hewlett Packard Enterprise Co","$22.69","Yes","1.31","$30B (Mid)","19,737,160"
"HPQ","HP Inc","$19.26","Yes","1.20","$18B (Mid)","22,797,080"
"HQY","Healthequity Inc","$73.88","Yes","0.28","$6B (Small)","1,160,410"
"HR","Healthcare Realty Trust Inc","$17.96","Yes","0.93","$6B (Small)","4,769,020"
"HRB","H & R Block Inc","$31.05","Yes","0.41","$4B (Small)","3,629,440"
"HRL","Hormel Foods Corp","$23.78","Yes","0.34","$13B (Mid)","5,197,500"
"HSBC","HSBC Holdings PLC","$85.15","Yes","0.49","$292B (Large)","2,783,190"
"HSIC","Henry Schein Inc","$78.19","Yes","0.88","$9B (Mid)","1,323,060"
"HST","Host Hotels & Resorts Inc","$19.89","Yes","1.14","$14B (Mid)","8,790,590"
"HTGC","Hercules Capital Inc","$15.58","Yes","0.80","$3B (Small)","2,970,990"
"HTH","Hilltop Holdings Inc","$39.27","Yes","0.91","$2B (Small)","575,730"
"HTHT","H World Group Ltd","$52.53","Yes","0.09","$16B (Mid)","2,126,220"
"HUBG","Hub Group Inc","$39.66","Yes","1.16","$2B (Small)","1,903,660"
"HUN","Huntsman Corp","$13.21","Yes","0.64","$2B (Small)","7,582,880"
"HUT","Hut 8 Corp","$53.87","Yes","4.19","$6B (Small)","6,206,950"
"HWC","Hancock Whitney Corp","$71.16","Yes","1.05","$6B (Small)","894,850"
"HXL","Hexcel Corp","$89.79","Yes","1.01","$7B (Small)","1,229,320"
"HYMC","Hycroft Mining Holding Corporation","$35.55","Yes","2.68","$3B (Small)","4,690,370"
"IAC","IAC Inc","$34.31","Yes","1.11","$3B (Small)","1,694,080"
"IAG","IAMGOLD Corp","$21.63","Yes","1.37","$13B (Mid)","10,380,820"
"IBKR","Interactive Brokers Group Inc","$74.75","Yes","1.23","$127B (Large)","5,751,660"
"IBN","ICICI Bank Ltd","$30.62","Yes","0.37","$110B (Large)","6,426,070"
"IBOC","International Bancshares Corp","$72.07","Yes","0.73","$4B (Small)","337,250"
"IDYA","IDEAYA Biosciences Inc","$30.27","Yes","0.10","$3B (Small)","845,940"
"IE","Ivanhoe Electric Inc","$15.79","Yes","1.01","$2B (Small)","2,018,770"
"IEP","Icahn Enterprises LP","$8.06","Yes","0.72","$5B (Small)","752,100"
"IFF","International Flavors & Fragrances Inc","$83.00","Yes","1.00","$21B (Mid)","1,996,540"
"IHS","IHS Holding Ltd","$8.29","Yes","0.84","$3B (Small)","1,275,040"
"IMNM","Immunome Inc","$22.44","Yes","2.12","$2B (Small)","1,362,730"
"IMVT","Immunovant Inc","$25.75","Yes","0.63","$5B (Small)","1,755,660"
"INDB","Independent Bank Corp (Massachusetts)","$83.68","Yes","0.80","$4B (Small)","357,330"
"INDV","Indivior Pharmaceuticals Inc","$34.58","Yes","1.15","$4B (Small)","1,393,950"
"INFY","Infosys Ltd","$14.72","Yes","1.00","$60B (Large)","18,661,210"
"ING","ING Groep NV","$28.30","Yes","0.83","$82B (Large)","3,502,620"
"INTC","Intel Corp","$46.79","Yes","1.37","$234B (Large)","108,782,680"
"INTR","Inter & Co Inc","$8.73","Yes","1.19","$4B (Small)","4,325,500"
"INVH","Invitation Homes Inc","$26.99","Yes","0.83","$17B (Mid)","7,017,800"
"IONQ","IONQ Inc","$34.11","Yes","2.65","$12B (Mid)","22,791,650"
"IONS","Ionis Pharmaceuticals Inc","$80.60","Yes","0.32","$13B (Mid)","1,941,250"
"IOT","Samsara Inc","$27.32","Yes","1.61","$16B (Mid)","11,257,850"
"IP","International Paper Co","$49.10","Yes","1.04","$26B (Mid)","9,321,360"
"IRDM","Iridium Communications Inc","$23.17","Yes","0.61","$2B (Small)","2,656,010"
"IREN","IREN Ltd","$42.22","Yes","4.33","$14B (Mid)","49,091,730"
"IRT","Independence Realty Trust Inc","$16.35","Yes","1.01","$4B (Small)","3,194,640"
"ITGR","Integer Holdings Corp","$85.92","Yes","0.74","$3B (Small)","976,390"
"ITRI","Itron Inc","$89.36","Yes","1.43","$4B (Small)","634,520"
"ITUB","Itau Unibanco Holding SA","$9.16","Yes","0.62","$50B (Large)","31,518,210"
"IVZ","Invesco Ltd","$26.52","Yes","1.66","$12B (Mid)","7,762,570"
"JBLU","JetBlue Airways Corp","$5.91","Yes","1.70","$2B (Small)","21,848,430"
"JD","JD.com Inc","$27.14","Yes","0.42","$43B (Large)","9,664,360"
"JEF","Jefferies Financial Group Inc","$53.72","Yes","1.49","$11B (Mid)","2,634,060"
"JHG","Janus Henderson Group PLC","$49.05","Yes","1.53","$8B (Small)","1,830,200"
"JHX","James Hardie Industries PLC","$25.88","Yes","1.77","$15B (Mid)","8,226,930"
"JKS","JinkoSolar Holding Co Ltd","$26.56","Yes","0.49","$3B (Small)","769,570"
"JOBY","Joby Aviation Inc","$9.90","Yes","2.59","$10B (Mid)","33,235,300"
"JOYY","JOYY Inc","$61.18","Yes","0.39","$3B (Small)","417,590"
"KBH","KB Home","$66.36","Yes","1.46","$4B (Small)","1,147,140"
"KBR","KBR Inc","$41.30","Yes","0.52","$5B (Small)","1,382,100"
"KC","Kingsoft Cloud Holdings Ltd","$14.48","Yes","2.01","$4B (Small)","1,687,330"
"KD","Kyndryl Holdings Inc","$12.24","Yes","2.04","$3B (Small)","14,096,410"
"KDP","Keurig Dr Pepper Inc","$29.69","Yes","0.33","$40B (Mid)","10,772,270"
"KEP","Korea Electric Power Corp","$21.52","Yes","0.86","$28B (Mid)","536,470"
"KEY","KeyCorp","$21.70","Yes","1.06","$24B (Mid)","15,069,680"
"KFY","Korn Ferry","$61.23","Yes","1.33","$3B (Small)","598,000"
"KGC","Kinross Gold Corp","$34.40","Yes","0.76","$42B (Large)","14,079,940"
"KHC","Kraft Heinz Co","$24.80","Yes","0.04","$29B (Mid)","18,605,880"
"KIM","Kimco Realty Corp","$22.71","Yes","1.06","$15B (Mid)","5,875,780"
"KLIC","Kulicke and Soffa Industries Inc","$71.62","Yes","1.56","$4B (Small)","1,234,760"
"KMI","Kinder Morgan Inc","$32.32","Yes","0.68","$72B (Large)","14,670,960"
"KMT","Kennametal Inc","$39.59","Yes","1.46","$3B (Small)","2,320,730"
"KMX","Carmax Inc","$41.43","Yes","1.36","$6B (Small)","3,215,010"
"KN","Knowles Corp","$27.29","Yes","1.48","$2B (Small)","957,710"
"KNSA","Kiniksa Pharmaceuticals International PLC","$45.37","Yes","0.05","$3B (Small)","443,000"
"KNTK","Kinetik Holdings Inc","$41.54","Yes","0.73","$7B (Small)","1,298,590"
"KNX","Knight-Swift Transportation Holdings Inc","$59.55","Yes","1.12","$10B (Mid)","3,697,410"
"KO","Coca-Cola Co","$78.68","Yes","0.35","$338B (Large)","24,243,920"
"KR","Kroger Co","$71.25","Yes","0.60","$45B (Large)","7,823,300"
"KRC","Kilroy Realty Corp","$31.75","Yes","1.12","$4B (Small)","2,398,540"
"KRG","Kite Realty Group Trust","$25.03","Yes","0.87","$5B (Small)","1,752,250"
"KSPI","Kaspi.kz AO","$73.30","Yes","0.02","$14B (Mid)","498,710"
"KSS","Kohls Corp","$19.85","Yes","1.41","$2B (Small)","3,756,300"
"KT","KT Corp","$23.56","Yes","0.61","$11B (Mid)","2,009,450"
"KTB","Kontoor Brands Inc","$67.46","Yes","1.16","$4B (Small)","728,690"
"KTOS","Kratos Defense and Security Solutions Inc","$89.06","Yes","1.13","$15B (Mid)","3,343,580"
"KYMR","Kymera Therapeutics Inc","$82.34","Yes","2.24","$7B (Small)","868,950"
"LASR","nLIGHT Inc","$52.28","Yes","2.27","$3B (Small)","1,803,670"
"LAUR","Laureate Education Inc","$34.77","Yes","0.58","$5B (Small)","961,070"
"LAZ","Lazard Inc","$52.31","Yes","1.38","$5B (Small)","1,042,480"
"LBRT","Liberty Energy Inc","$25.90","Yes","0.51","$4B (Small)","6,285,090"
"LCID","Lucid Group Inc","$10.28","Yes","1.12","$3B (Small)","7,398,880"
"LEGN","Legend Biotech Corp","$17.58","Yes","0.08","$3B (Small)","2,741,750"
"LEVI","Levi Strauss & Co","$21.91","Yes","1.28","$9B (Mid)","3,288,590"
"LFST","LifeStance Health Group Inc","$7.03","Yes","1.12","$3B (Small)","1,778,390"
"LI","Li Auto Inc","$18.46","Yes","0.57","$20B (Mid)","4,708,840"
"LIVN","LivaNova PLC","$65.80","Yes","0.94","$4B (Small)","740,660"
"LKQ","LKQ Corp","$34.10","Yes","0.87","$9B (Mid)","2,276,130"
"LMND","Lemonade Inc","$63.76","Yes","2.11","$5B (Small)","2,815,280"
"LNC","Lincoln National Corp","$40.88","Yes","1.27","$8B (Mid)","2,254,290"
"LNT","Alliant Energy Corp","$71.19","Yes","0.65","$18B (Mid)","2,943,970"
"LOGI","Logitech International SA","$89.41","Yes","1.10","$13B (Mid)","1,457,760"
"LQDA","Liquidia Corp","$39.04","Yes","0.50","$3B (Small)","1,432,000"
"LRN","Stride Inc","$84.89","Yes","0.12","$4B (Small)","1,621,750"
"LTH","Life Time Group Holdings Inc","$29.06","Yes","1.67","$6B (Small)","2,252,020"
"LTM","LATAM Airlines Group SA","$59.71","Yes","3.91","$17B (Mid)","2,663,890"
"LUMN","Lumen Technologies Inc","$8.39","Yes","1.56","$9B (Mid)","20,136,680"
"LUNR","Intuitive Machines Inc","$16.13","Yes","1.42","$3B (Small)","9,646,670"
"LUV","Southwest Airlines Co","$51.11","Yes","1.08","$25B (Mid)","11,416,250"
"LVS","Las Vegas Sands Corp","$57.15","Yes","0.86","$38B (Mid)","6,384,860"
"LW","Lamb Weston Holdings Inc","$49.82","Yes","0.40","$7B (Small)","2,806,190"
"LXP","LXP Industrial Trust","$47.66","Yes","1.11","$3B (Small)","614,180"
"LYB","LyondellBasell Industries NV","$57.61","Yes","0.63","$19B (Mid)","8,433,170"
"LYFT","Lyft Inc","$13.27","Yes","1.94","$5B (Small)","25,641,350"
"LYG","Lloyds Banking Group PLC","$5.61","Yes","0.90","$83B (Large)","26,126,150"
"M","Macy's Inc","$21.63","Yes","1.50","$6B (Small)","6,647,780"
"MAC","Macerich Co","$18.52","Yes","2.19","$5B (Small)","2,365,540"
"MAIN","Main Street Capital Corp","$59.44","Yes","0.79","$5B (Small)","591,170"
"MANU","Manchester United PLC","$17.44","Yes","0.51","$3B (Small)","339,560"
"MARA","MARA Holdings Inc","$7.25","Yes","5.56","$3B (Small)","55,759,800"
"MAS","Masco Corp","$76.19","Yes","1.24","$16B (Mid)","3,779,600"
"MAT","Mattel Inc","$16.47","Yes","0.74","$5B (Small)","9,649,570"
"MBIN","Merchants Bancorp","$47.24","Yes","1.22","$2B (Small)","931,880"
"MBLY","Mobileye Global Inc","$9.19","Yes","0.52","$8B (Mid)","7,601,650"
"MC","Moelis & Co","$65.94","Yes","1.88","$5B (Small)","1,338,510"
"MCHB","Mechanics Bancorp","$15.37","Yes","1.54","$4B (Small)","470,790"
"MCHP","Microchip Technology Inc","$78.56","Yes","1.42","$43B (Large)","12,567,420"
"MDLZ","Mondelez International Inc","$62.59","Yes","0.39","$80B (Large)","13,281,760"
"MDU","MDU Resources Group Inc","$20.80","Yes","0.81","$4B (Small)","2,242,070"
"MEOH","Methanex Corp","$48.75","Yes","0.67","$4B (Small)","650,960"
"MET","MetLife Inc","$77.31","Yes","0.74","$51B (Large)","4,818,050"
"MFC","Manulife Financial Corp","$36.77","Yes","0.83","$62B (Large)","2,566,950"
"MFG","Mizuho Financial Group Inc","$9.90","Yes","0.35","$122B (Large)","5,121,600"
"MGA","Magna International Inc","$68.73","Yes","1.42","$19B (Mid)","2,141,530"
"MGM","MGM Resorts International","$34.14","Yes","1.39","$9B (Mid)","6,350,620"
"MGY","Magnolia Oil & Gas Corp","$26.78","Yes","0.90","$5B (Small)","3,787,250"
"MIR","Mirion Technologies Inc","$22.51","Yes","1.00","$6B (Small)","4,491,060"
"MKC","McCormick & Company Inc","$71.49","Yes","0.57","$18B (Mid)","4,112,580"
"MLCO","Melco Resorts & Entertainment Ltd","$5.53","Yes","0.60","$2B (Small)","3,068,710"
"MMS","Maximus Inc","$74.69","Yes","0.60","$4B (Small)","1,116,310"
"MMSI","Merit Medical Systems Inc","$81.66","Yes","0.61","$5B (Small)","634,900"
"MMYT","MakeMyTrip Ltd","$56.25","Yes","0.63","$5B (Small)","3,055,400"
"MNDY","monday.com Ltd","$72.38","Yes","1.32","$4B (Small)","5,240,930"
"MNSO","MINISO Group Holding Ltd","$19.27","Yes","0.14","$6B (Small)","973,000"
"MNST","Monster Beverage Corp","$81.48","Yes","0.45","$80B (Large)","7,323,330"
"MO","Altria Group Inc","$67.25","Yes","0.48","$113B (Large)","11,120,870"
"MOS","Mosaic Co","$29.65","Yes","0.94","$9B (Mid)","6,357,080"
"MP","MP Materials Corp","$58.03","Yes","1.56","$10B (Mid)","7,831,430"
"MPLX","MPLX LP","$56.83","Yes","0.56","$58B (Large)","2,549,770"
"MPT","Medical Properties Trust Inc","$5.44","Yes","1.43","$3B (Small)","6,067,520"
"MRCY","Mercury Systems Inc","$82.36","Yes","0.80","$5B (Small)","952,030"
"MRNA","Moderna Inc","$42.23","Yes","1.35","$16B (Mid)","10,512,630"
"MRVL","Marvell Technology Inc","$78.61","Yes","1.97","$69B (Large)","15,856,560"
"MT","ArcelorMittal SA","$61.51","Yes","1.47","$47B (Large)","2,162,920"
"MTCH","Match Group Inc","$30.50","Yes","1.31","$7B (Small)","6,564,730"
"MTDR","Matador Resources Co","$47.80","Yes","1.08","$6B (Small)","1,688,250"
"MTG","MGIC Investment Corp","$26.66","Yes","0.82","$6B (Small)","2,683,520"
"MTH","Meritage Homes Corp","$80.60","Yes","1.45","$5B (Small)","1,194,550"
"MUFG","Mitsubishi UFJ Financial Group Inc","$19.73","Yes","0.35","$223B (Large)","3,787,510"
"MUR","Murphy Oil Corp","$33.62","Yes","0.71","$5B (Small)","2,296,880"
"MWA","Mueller Water Products Inc","$30.13","Yes","1.14","$5B (Small)","1,564,680"
"NAMS","NewAmsterdam Pharma Company NV","$34.63","Yes","0.05","$4B (Small)","607,480"
"NCLH","Norwegian Cruise Line Holdings Ltd","$21.49","Yes","2.01","$10B (Mid)","21,356,670"
"NDAQ","Nasdaq Inc","$79.47","Yes","1.07","$45B (Large)","8,317,850"
"NE","Noble Corporation PLC","$45.82","Yes","1.07","$7B (Small)","2,655,900"
"NEOG","Neogen Corp","$10.94","Yes","1.95","$2B (Small)","3,231,090"
"NFG","National Fuel Gas Co","$87.34","Yes","0.59","$8B (Mid)","797,100"
"NFLX","Netflix Inc","$76.87","Yes","1.73","$325B (Large)","48,706,470"
"NG","NovaGold Resources Inc","$10.75","Yes","0.80","$5B (Small)","5,728,960"
"NGD","New Gold Inc","$11.06","Yes","0.62","$9B (Mid)","23,530,770"
"NGVT","Ingevity Corp","$76.57","Yes","1.30","$3B (Small)","324,420"
"NHI","National Health Investors Inc","$89.31","Yes","0.65","$4B (Small)","298,790"
"NI","NiSource Inc","$46.36","Yes","0.65","$22B (Mid)","5,490,750"
"NJR","New Jersey Resources Corp","$54.23","Yes","0.58","$5B (Small)","776,700"
"NKE","Nike Inc","$63.13","Yes","1.27","$93B (Large)","14,310,160"
"NLY","Annaly Capital Management Inc","$23.07","Yes","1.29","$17B (Mid)","9,339,390"
"NMIH","NMI Holdings Inc","$39.65","Yes","0.62","$3B (Small)","625,440"
"NMR","Nomura Holdings Inc","$9.54","Yes","0.68","$28B (Mid)","1,614,050"
"NMRK","Newmark Group Inc","$14.82","Yes","1.89","$3B (Small)","1,884,600"
"NN","NextNav Inc","$16.13","Yes","0.98","$2B (Small)","1,147,440"
"NNN","NNN REIT Inc","$44.34","Yes","0.82","$8B (Mid)","1,770,260"
"NOG","Northern Oil and Gas Inc","$25.96","Yes","0.99","$3B (Small)","1,887,890"
"NOK","Nokia Oyj","$7.03","Yes","0.81","$39B (Mid)","32,455,140"
"NOV","Nov Inc","$19.20","Yes","0.91","$7B (Small)","5,949,970"
"NSA","National Storage Affiliates Trust","$33.47","Yes","1.19","$3B (Small)","1,368,350"
"NSIT","Insight Enterprises Inc","$85.11","Yes","0.91","$3B (Small)","526,360"
"NTCT","Netscout Systems Inc","$29.79","Yes","0.63","$2B (Small)","578,960"
"NTNX","Nutanix Inc","$41.76","Yes","0.47","$11B (Mid)","5,268,770"
"NU","Nu Holdings Ltd","$16.82","Yes","1.09","$82B (Large)","49,223,470"
"NVO","Novo Nordisk A/S","$49.57","Yes","0.71","$167B (Large)","30,672,760"
"NVST","Envista Holdings Corp","$28.97","Yes","0.94","$5B (Small)","5,108,150"
"NWE","NorthWestern Energy Group Inc","$69.68","Yes","0.35","$4B (Small)","804,210"
"NWG","NatWest Group PLC","$16.07","Yes","0.89","$64B (Large)","4,223,190"
"NWSA","News Corp","$22.72","Yes","1.00","$8B (Mid)","6,026,250"
"NYT","New York Times Co","$72.94","Yes","1.11","$12B (Mid)","4,104,850"
"O","Realty Income Corp","$65.66","Yes","0.78","$60B (Large)","7,193,200"
"OBDC","Blue Owl Capital Corp","$11.47","Yes","0.69","$6B (Small)","8,520,910"
"OGE","OGE Energy Corp","$46.98","Yes","0.61","$10B (Mid)","1,659,610"
"OGS","ONE Gas Inc","$86.04","Yes","0.79","$5B (Small)","502,020"
"OHI","Omega Healthcare Investors Inc","$47.40","Yes","0.53","$14B (Mid)","2,675,240"
"OI","O-I Glass Inc","$14.79","Yes","0.80","$2B (Small)","1,876,950"
"OII","Oceaneering International Inc","$33.15","Yes","1.20","$3B (Small)","1,179,210"
"OKE","ONEOK Inc","$86.11","Yes","0.90","$54B (Large)","4,649,450"
"OKLO","Oklo Inc","$65.69","Yes","0.83","$10B (Mid)","10,962,410"
"OKTA","Okta Inc","$87.26","Yes","0.76","$15B (Mid)","2,869,340"
"OLN","Olin Corp","$25.88","Yes","1.54","$3B (Small)","4,387,460"
