"Symbol","Description","Optionable Stocks","Average Volume (10 Day)","Exchange","Market Capitalization","Beta","Short Interest"
"AVAV","AeroVironment Inc","Yes","1,483,570","NASDAQ","$12B (Mid)","1.18","4.8%"
"AVDL","Avadel Pharmaceuticals PLC","Yes","1,547,220","NASDAQ","$2B (Micro)","1.30","6.8%"
"AVGO","Broadcom Inc","Yes","50,429,630","NASDAQ","$2T (Large)","1.24","1.2%"
"AVPT","AvePoint Inc","Yes","2,401,580","NASDAQ","$3B (Small)","1.08","3.4%"
"AXP","American Express Co","Yes","2,619,450","NYS","$259B (Large)","1.15","1.5%"
"AXTA","Axalta Coating Systems Ltd","Yes","4,645,540","NYS","$7B (Small)","1.29","2.4%"
"AXTI","AXT Inc","Yes","4,594,080","NASDAQ","$683M (Micro)","1.93","5.0%"
"BA","Boeing Co","Yes","8,072,500","NYS","$168B (Large)","1.15","2.0%"
"BAC","Bank of America Corp","Yes","43,478,320","NYS","$404B (Large)","1.29","1.6%"
"BALL","Ball Corp","Yes","3,153,990","NYS","$14B (Mid)","1.13","1.7%"
"BB","BlackBerry Ltd","Yes","8,444,640","NYS","$2B (Small)","1.37","4.7%"
"BBBY","Bed Bath & Beyond Inc","Yes","1,709,020","NYS","$414M (Micro)","2.83","7.6%"
"BBWI","Bath & Body Works Inc","Yes","6,632,920","NYS","$4B (Small)","1.49","6.5%"
"BBY","Best Buy Co Inc","Yes","4,944,800","NYS","$15B (Mid)","1.43","6.0%"
"BDN","Brandywine Realty Trust","Yes","4,367,070","NYS","$521M (Micro)","1.28","8.0%"
"BE","Bloom Energy Corp","Yes","13,243,360","NYS","$21B (Mid)","3.05","7.6%"
"BEN","Franklin Resources Inc","Yes","4,202,500","NYS","$13B (Mid)","1.46","4.7%"
"BFLY","Butterfly Network Inc","Yes","5,447,750","NYS","$899M (Micro)","2.27","7.1%"
"BGC","Bgc Group Inc","Yes","3,068,980","NASDAQ","$4B (Small)","1.06","2.6%"
"BK","Bank of New York Mellon Corp","Yes","3,837,440","NYS","$81B (Large)","1.11","1.4%"
"BLDP","Ballard Power Systems Inc","Yes","3,380,040","NASDAQ","$785M (Micro)","1.65","4.7%"
"BLDR","Builders FirstSource Inc","Yes","1,809,310","NYS","$11B (Mid)","1.57","5.0%"
"BLMN","Bloomin' Brands Inc","Yes","2,043,020","NASDAQ","$590M (Micro)","1.10","9.5%"
"BLND","Blend Labs Inc","Yes","2,448,120","NYS","$803M (Micro)","1.24","5.3%"
"BN","Brookfield Corp","Yes","3,973,560","NYS","$112B (Large)","1.60","1.1%"
"BNL","Broadstone Net Lease Inc","Yes","2,104,790","NYS","$3B (Small)","1.03","2.6%"
"BNS","Bank of Nova Scotia","Yes","1,943,970","NYS","$90B (Large)","1.09","1.6%"
"BNTX","Biontech SE","Yes","1,191,120","NASDAQ","$22B (Mid)","1.41","2.5%"
"BORR","Borr Drilling Ltd","Yes","7,054,200","NYS","$1B (Micro)","1.08","4.4%"
"BRKR","Bruker Corp","Yes","1,997,140","NASDAQ","$7B (Small)","1.18","8.8%"
"BROS","Dutch Bros Inc","Yes","2,926,820","NYS","$11B (Mid)","2.53","7.3%"
"BRSL","Brightstar Lottery PLC","Yes","1,502,690","NYS","$3B (Small)","1.06","2.8%"
"BRX","Brixmor Property Group Inc","Yes","3,373,010","NYS","$8B (Mid)","1.08","4.3%"
"BRZE","Braze Inc","Yes","3,688,380","NASDAQ","$4B (Small)","1.05","4.9%"
"BSY","Bentley Systems Inc","Yes","2,289,500","NASDAQ","$12B (Mid)","1.21","3.3%"
"BTCS","BTCS Inc","Yes","1,195,730","NASDAQ","$141M (Micro)","1.57","4.2%"
"BURL","Burlington Stores Inc","Yes","1,025,710","NYS","$18B (Mid)","1.74","4.2%"
"BW","Babcock & Wilcox Enterprises Inc","Yes","3,347,170","NYS","$544M (Micro)","1.48","2.7%"
"BWA","Borgwarner Inc","Yes","2,545,130","NYS","$10B (Mid)","1.06","4.1%"
"BWIN","Baldwin Insurance Group Inc","Yes","1,268,920","NASDAQ","$3B (Small)","1.39","6.2%"
"BX","Blackstone Inc","Yes","4,244,200","NYS","$185B (Large)","1.74","1.0%"
"BXMT","Blackstone Mortgage Trust Inc","Yes","1,513,440","NYS","$3B (Small)","1.09","6.6%"
"BXP","BXP Inc","Yes","1,433,780","NYS","$11B (Mid)","1.03","6.7%"
"C","Citigroup Inc","Yes","13,501,140","NYS","$206B (Large)","1.16","1.5%"
"CAN","Canaan Inc","Yes","18,447,740","NASDAQ","$558M (Micro)","2.90","5.3%"
