"Symbol","Description","Optionable Stocks","Average Volume (10 Day)","Exchange","Market Capitalization","Beta","Short Interest"
"GTM","Zoominfo Technologies Inc","Yes","5,589,600","NASDAQ","$3B (Small)","1.06","9.3%"
"GWRE","Guidewire Software Inc","Yes","1,446,690","NYS","$17B (Mid)","1.09","1.8%"
"GXO","GXO Logistics Inc","Yes","1,046,950","NYS","$6B (Small)","1.70","6.2%"
"HAYW","Hayward Holdings Inc","Yes","1,411,030","NYS","$3B (Small)","1.12","4.3%"
"HCA","HCA Healthcare Inc","Yes","1,258,020","NYS","$108B (Large)","1.37","2.0%"
"HD","Home Depot Inc","Yes","5,164,820","NYS","$343B (Large)","1.07","1.0%"
"HIMX","Himax Technologies Inc","Yes","1,392,280","NASDAQ","$1B (Micro)","1.85","2.0%"
"HIW","Highwoods Properties Inc","Yes","1,588,380","NYS","$3B (Small)","1.09","5.2%"
"HL","Hecla Mining Co","Yes","19,812,420","NYS","$13B (Mid)","1.26","4.0%"
"HLIT","Harmonic Inc","Yes","1,383,780","NASDAQ","$1B (Micro)","1.03","1.7%"
"HLMN","Hillman Solutions Corp","Yes","1,082,730","NASDAQ","$2B (Micro)","1.62","2.7%"
"HLT","Hilton Worldwide Holdings Inc","Yes","1,793,130","NYS","$68B (Large)","1.15","2.9%"
"HLX","Helix Energy Solutions Group Inc","Yes","1,679,730","NYS","$903M (Micro)","1.26","2.4%"
"HOOD","Robinhood Markets Inc","Yes","26,905,250","NASDAQ","$109B (Large)","2.45","5.1%"
"HOUS","Anywhere Real Estate Inc","Yes","1,594,180","NYS","$2B (Micro)","1.87","8.6%"
"HPE","Hewlett Packard Enterprise Co","Yes","35,119,750","NYS","$33B (Mid)","1.32","3.7%"
"HPP","Hudson Pacific Properties Inc","Yes","1,469,020","NYS","$560M (Micro)","1.53","9.6%"
"HPQ","HP Inc","Yes","12,433,830","NYS","$21B (Mid)","1.21","7.2%"
"HST","Host Hotels & Resorts Inc","Yes","8,430,530","NASDAQ","$13B (Mid)","1.18","5.2%"
"HUBG","Hub Group Inc","Yes","1,025,000","NASDAQ","$3B (Small)","1.12","2.4%"
"HWM","Howmet Aerospace Inc","Yes","2,517,830","NYS","$82B (Large)","1.30","2.4%"
"HXL","Hexcel Corp","Yes","1,453,230","NYS","$6B (Small)","1.07","8.4%"
"HYMC","Hycroft Mining Holding Corporation","Yes","1,921,260","NASDAQ","$1B (Micro)","2.69","3.3%"
"IAG","IAMGOLD Corp","Yes","6,867,530","NYS","$10B (Mid)","1.38","2.0%"
"ICE","Intercontinental Exchange Inc","Yes","3,751,130","NYS","$91B (Large)","1.03","1.1%"
"IE","Ivanhoe Electric Inc","Yes","1,518,030","NYS","$2B (Small)","1.00","7.2%"
"IFF","International Flavors & Fragrances Inc","Yes","2,604,670","NYS","$17B (Mid)","1.06","2.5%"
"IHRT","iHeartMedia Inc","Yes","1,602,750","NASDAQ","$661M (Micro)","1.66","3.7%"
"ILMN","Illumina Inc","Yes","1,655,590","NASDAQ","$21B (Mid)","1.41","4.3%"
"IMMP","Immutep Ltd","Yes","3,420,280","NASDAQ","$388M (Micro)","1.74","3.1%"
"IMUX","Immunic Inc","Yes","1,520,210","NASDAQ","$69M (Micro)","1.56","4.8%"
"INDV","Indivior PLC","Yes","3,511,160","NASDAQ","$4B (Small)","1.10","4.0%"
"INSM","Insmed Inc","Yes","4,043,750","NASDAQ","$37B (Mid)","1.11","4.2%"
"INTC","Intel Corp","Yes","71,737,800","NASDAQ","$176B (Large)","1.36","2.8%"
"INTR","Inter & Co Inc","Yes","2,595,220","NASDAQ","$4B (Small)","1.19","1.8%"
"INTU","Intuit Inc","Yes","1,973,660","NASDAQ","$187B (Large)","1.25","1.8%"
"IOT","Samsara Inc","Yes","8,344,690","NYS","$22B (Mid)","1.61","4.0%"
"IQV","IQVIA Holdings Inc","Yes","1,307,460","NYS","$38B (Mid)","1.37","2.9%"
"IR","Ingersoll Rand Inc","Yes","2,758,300","NYS","$31B (Mid)","1.33","4.5%"
"IRM","Iron Mountain Inc","Yes","2,284,530","NYS","$24B (Mid)","1.16","3.4%"
"IRT","Independence Realty Trust Inc","Yes","2,666,470","NYS","$4B (Small)","1.01","6.1%"
"ISRG","Intuitive Surgical Inc","Yes","1,701,850","NASDAQ","$203B (Large)","1.67","2.1%"
"IT","Gartner Inc","Yes","1,009,550","NYS","$18B (Mid)","1.06","6.5%"
"ITT","ITT Inc","Yes","1,603,790","NYS","$15B (Mid)","1.37","1.7%"
"ITW","Illinois Tool Works Inc","Yes","1,167,420","NYS","$73B (Large)","1.16","2.6%"
"IVR","Invesco Mortgage Capital Inc","Yes","1,328,750","NYS","$626M (Micro)","1.65","8.9%"
"IVZ","Invesco Ltd","Yes","5,763,280","NYS","$12B (Mid)","1.61","2.8%"
"JBHT","J B Hunt Transport Services Inc","Yes","1,221,380","NASDAQ","$19B (Mid)","1.25","2.9%"
"JBI","Janus International Group Inc","Yes","2,500,820","NYS","$941M (Micro)","1.42","2.4%"
"JBL","Jabil Inc","Yes","1,781,210","NYS","$24B (Mid)","1.25","3.8%"
"JCI","Johnson Controls International PLC","Yes","5,975,030","NYS","$73B (Large)","1.42","3.2%"
"JEF","Jefferies Financial Group Inc","Yes","1,793,600","NYS","$13B (Mid)","1.50","2.3%"
"JELD","JELD-WEN Holding Inc","Yes","1,373,460","NYS","$236M (Micro)","1.70","2.3%"
"JHG","Janus Henderson Group PLC","Yes","1,014,590","NYS","$7B (Small)","1.53","1.2%"
"JHX","James Hardie Industries PLC","Yes","5,504,730","NYS","$12B (Mid)","1.80","2.4%"
"JMIA","Jumia Technologies AG","Yes","3,301,410","NYS","$2B (Micro)","2.24","5.0%"
"JOBY","Joby Aviation Inc","Yes","16,114,680","NYS","$13B (Mid)","2.55","6.9%"
"KBH","KB Home","Yes","1,431,270","NYS","$4B (Small)","1.42","9.9%"
"KC","Kingsoft Cloud Holdings Ltd","Yes","1,021,960","NASDAQ","$3B (Small)","2.02","3.5%"
"KD","Kyndryl Holdings Inc","Yes","1,754,680","NYS","$6B (Small)","1.92","8.1%"
"KEY","KeyCorp","Yes","21,415,260","NYS","$23B (Mid)","1.06","2.7%"
"KEYS","Keysight Technologies Inc","Yes","1,172,520","NYS","$35B (Mid)","1.18","1.9%"
"KIM","Kimco Realty Corp","Yes","4,333,190","NYS","$14B (Mid)","1.06","3.7%"
"KKR","KKR & Co Inc","Yes","4,992,210","NYS","$116B (Large)","1.98","1.3%"
"KMX","Carmax Inc","Yes","4,670,470","NYS","$6B (Small)","1.28","10.0%"
"KNX","Knight-Swift Transportation Holdings Inc","Yes","3,823,500","NYS","$9B (Mid)","1.14","5.2%"
"KODK","Eastman Kodak Co","Yes","1,636,150","NYS","$803M (Micro)","1.43","7.0%"
"KOPN","Kopin Corp","Yes","2,793,930","NASDAQ","$429M (Micro)","2.70","6.3%"
"KTOS","Kratos Defense and Security Solutions Inc","Yes","1,851,590","NASDAQ","$13B (Mid)","1.10","5.3%"
"LAB","Standard BioTools Inc","Yes","1,472,100","NASDAQ","$627M (Micro)","1.22","3.1%"
"LAR","Lithium Argentina AG","Yes","2,631,680","NYS","$880M (Micro)","1.13","5.5%"
"LAZ","Lazard Inc","Yes","1,154,330","NYS","$5B (Small)","1.36","6.1%"
"LBTYA","Liberty Global Ltd","Yes","1,862,330","NASDAQ","$2B (Micro)","1.12","3.2%"
"LC","LendingClub Corp","Yes","1,830,170","NYS","$2B (Small)","2.07","5.1%"
"LDI","loanDepot Inc","Yes","3,987,760","NYS","$750M (Micro)","3.16","4.7%"
"LEN","Lennar Corp","Yes","5,026,980","NYS","$24B (Mid)","1.45","9.1%"
"LEVI","Levi Strauss & Co","Yes","1,806,740","NYS","$8B (Mid)","1.32","2.1%"
"LFMD","LifeMD Inc","Yes","1,059,570","NASDAQ","$155M (Micro)","1.47","9.1%"
"LFST","LifeStance Health Group Inc","Yes","2,522,840","NASDAQ","$3B (Small)","1.11","1.6%"
"LNC","Lincoln National Corp","Yes","1,813,590","NYS","$9B (Mid)","1.30","3.0%"
"LPTH","LightPath Technologies Inc","Yes","1,475,640","NASDAQ","$383M (Micro)","1.04","4.4%"
"LPX","Louisiana-Pacific Corp","Yes","1,028,910","NYS","$6B (Small)","1.79","5.9%"
"LRCX","Lam Research Corp","Yes","10,142,780","NASDAQ","$216B (Large)","1.77","2.6%"
"LSCC","Lattice Semiconductor Corp","Yes","1,826,120","NASDAQ","$10B (Mid)","1.71","8.6%"
"LTH","Life Time Group Holdings Inc","Yes","1,846,910","NYS","$6B (Small)","1.68","2.3%"
"LUMN","Lumen Technologies Inc","Yes","12,359,450","NYS","$8B (Mid)","1.47","5.6%"
"LUV","Southwest Airlines Co","Yes","15,081,900","NYS","$21B (Mid)","1.13","6.5%"
"LWLG","Lightwave Logic Inc","Yes","2,111,580","NASDAQ","$435M (Micro)","2.91","8.5%"
"LYV","Live Nation Entertainment Inc","Yes","2,974,830","NYS","$33B (Mid)","1.19","7.7%"
"LZ","LegalZoom.com Inc","Yes","2,019,550","NASDAQ","$2B (Micro)","1.21","5.5%"
"M","Macy's Inc","Yes","7,144,120","NYS","$6B (Small)","1.44","7.2%"
"MAC","Macerich Co","Yes","1,923,190","NYS","$5B (Small)","2.04","4.8%"
"MAPS","WM Technology Inc","Yes","2,190,500","NASDAQ","$146M (Micro)","1.08","1.1%"
"MAR","Marriott International Inc","Yes","1,855,230","NASDAQ","$83B (Large)","1.15","3.2%"
"MAS","Masco Corp","Yes","2,777,840","NYS","$13B (Mid)","1.27","3.8%"
"MBOT","Microbot Medical Inc","Yes","1,957,690","NASDAQ","$139M (Micro)","1.24","6.9%"
"MCHP","Microchip Technology Inc","Yes","8,650,400","NASDAQ","$35B (Mid)","1.42","4.4%"
"MCW","Mister Car Wash Inc","Yes","1,182,160","NASDAQ","$2B (Micro)","1.45","4.2%"
"MDB","MongoDB Inc","Yes","1,699,870","NASDAQ","$35B (Mid)","1.35","4.8%"
"META","Meta Platforms Inc","Yes","15,706,750","NASDAQ","$2T (Large)","1.28","1.2%"
"MFA","MFA Financial Inc","Yes","1,118,370","NYS","$994M (Micro)","1.65","2.5%"
"MGA","Magna International Inc","Yes","1,591,660","NYS","$16B (Mid)","1.46","3.4%"
"MGM","MGM Resorts International","Yes","4,286,750","NYS","$10B (Mid)","1.45","8.3%"
"MGNX","MacroGenics Inc","Yes","3,010,390","NASDAQ","$95M (Micro)","1.51","5.6%"
"MHK","Mohawk Industries Inc","Yes","1,062,720","NYS","$7B (Small)","1.22","3.3%"
"MIDD","Middleby Corp","Yes","1,029,780","NASDAQ","$7B (Small)","1.36","5.2%"
"MITK","Mitek Systems Inc","Yes","1,427,300","NASDAQ","$484M (Micro)","1.06","4.8%"
"MLTX","MoonLake Immunotherapeutics","Yes","1,822,180","NASDAQ","$953M (Micro)","1.21","5.4%"
"MMM","3M Co","Yes","2,754,910","NYS","$86B (Large)","1.08","1.4%"
"MNDY","monday.com Ltd","Yes","1,097,440","NASDAQ","$8B (Small)","1.25","6.0%"
"MQ","Marqeta Inc","Yes","4,110,320","NASDAQ","$2B (Small)","1.47","3.8%"
"MRUS","Merus NV","Yes","1,214,770","NASDAQ","$7B (Small)","1.08","2.0%"
"MRVL","Marvell Technology Inc","Yes","19,756,350","NASDAQ","$71B (Large)","1.95","4.3%"
"MSI","Motorola Solutions Inc","Yes","1,669,740","NYS","$62B (Large)","1.01","1.3%"
"MSTR","Strategy Inc","Yes","20,113,590","NASDAQ","$47B (Large)","3.43","9.6%"
"MTCH","Match Group Inc","Yes","3,127,600","NASDAQ","$8B (Mid)","1.33","4.3%"
"MTDR","Matador Resources Co","Yes","1,499,300","NYS","$5B (Small)","1.09","8.4%"
"MTSI","MACOM Technology Solutions Holdings Inc","Yes","1,199,720","NASDAQ","$13B (Mid)","1.43","3.5%"
"MU","Micron Technology Inc","Yes","28,251,220","NASDAQ","$299B (Large)","1.51","2.4%"
"MVST","Microvast Holdings Inc","Yes","5,091,490","NASDAQ","$952M (Micro)","3.39","7.6%"
"MWA","Mueller Water Products Inc","Yes","1,541,560","NYS","$4B (Small)","1.17","2.4%"
"MXCT","MaxCyte Inc","Yes","2,045,030","NASDAQ","$160M (Micro)","1.23","2.8%"
"MXL","Maxlinear Inc","Yes","1,374,790","NASDAQ","$2B (Micro)","1.75","6.9%"
"NAVI","Navient Corp","Yes","1,113,310","NASDAQ","$1B (Micro)","1.28","7.6%"
"NCLH","Norwegian Cruise Line Holdings Ltd","Yes","20,327,950","NYS","$10B (Mid)","2.06","8.2%"
"NDAQ","Nasdaq Inc","Yes","4,121,300","NASDAQ","$54B (Large)","1.02","1.3%"
"NE","Noble Corporation PLC","Yes","1,932,760","NYS","$4B (Small)","1.12","7.0%"
"NEO","Neogenomics Inc","Yes","1,600,400","NASDAQ","$2B (Micro)","1.57","6.5%"
"NEOG","Neogen Corp","Yes","4,493,640","NASDAQ","$2B (Micro)","1.91","9.6%"
"NET","Cloudflare Inc","Yes","2,053,090","NYS","$69B (Large)","1.97","2.5%"
"NEXT","NextDecade Corp","Yes","4,587,120","NASDAQ","$1B (Micro)","1.98","5.9%"
"NINE","Nine Energy Service Inc","Yes","2,411,220","NYS","$15M (Micro)","2.24","6.1%"
"NIO","NIO Inc","Yes","30,787,220","NYS","$12B (Mid)","1.07","6.4%"
"NKE","Nike Inc","Yes","16,489,000","NYS","$87B (Large)","1.27","2.6%"
"NKTR","Nektar Therapeutics","Yes","1,209,100","NASDAQ","$895M (Micro)","1.34","8.9%"
"NLY","Annaly Capital Management Inc","Yes","6,810,190","NYS","$16B (Mid)","1.30","1.8%"
"NMRK","Newmark Group Inc","Yes","1,251,470","NASDAQ","$3B (Small)","1.91","1.9%"
"NRDY","Nerdy Inc","Yes","1,878,280","NYS","$229M (Micro)","1.80","3.7%"
"NRG","NRG Energy Inc","Yes","2,071,670","NYS","$30B (Mid)","1.25","2.4%"
"NSA","National Storage Affiliates Trust","Yes","1,104,760","NYS","$2B (Small)","1.20","7.6%"
"NSC","Norfolk Southern Corp","Yes","1,530,320","NYS","$65B (Large)","1.32","3.3%"
"NTAP","NetApp Inc","Yes","1,741,910","NASDAQ","$22B (Mid)","1.37","7.7%"
"NTRA","Natera Inc","Yes","1,283,520","NASDAQ","$32B (Mid)","1.62","2.7%"
"NU","Nu Holdings Ltd","Yes","41,401,930","NYS","$79B (Large)","1.09","2.1%"
"NUE","Nucor Corp","Yes","1,604,040","NYS","$36B (Mid)","1.88","1.8%"
"NVT","nVent Electric PLC","Yes","2,760,650","NYS","$16B (Mid)","1.34","1.9%"
"NXDR","Nextdoor Holdings Inc","Yes","21,051,750","NYS","$855M (Micro)","1.16","1.3%"
"NXPI","NXP Semiconductors NV","Yes","2,588,610","NASDAQ","$57B (Large)","1.45","2.5%"
"NYT","New York Times Co","Yes","2,058,320","NYS","$11B (Mid)","1.10","6.3%"
"OC","Owens Corning","Yes","1,350,300","NYS","$9B (Mid)","1.33","3.2%"
"ODFL","Old Dominion Freight Line Inc","Yes","2,657,160","NASDAQ","$33B (Mid)","1.26","5.1%"
"OLN","Olin Corp","Yes","2,765,690","NYS","$2B (Small)","1.63","7.9%"
"OLPX","Olaplex Holdings Inc","Yes","1,465,700","NASDAQ","$841M (Micro)","2.23","1.3%"
"OMF","OneMain Holdings Inc","Yes","1,282,710","NYS","$8B (Mid)","1.29","4.6%"
"ON","ON Semiconductor Corp","Yes","8,032,960","NASDAQ","$22B (Mid)","1.53","9.7%"
"ONON","On Holding AG","Yes","4,776,290","NYS","$16B (Mid)","2.14","5.2%"
"OPK","OPKO Health Inc","Yes","3,683,970","NASDAQ","$1B (Micro)","1.38","4.4%"
"OPTT","Ocean Power Technologies Inc","Yes","4,991,620","NYS","$69M (Micro)","2.40","9.8%"
"OPTU","Optimum Communications Inc","Yes","2,771,940","NYS","$799M (Micro)","1.52","6.9%"
"ORBS","Eightco Holdings Inc","Yes","2,704,400","NASDAQ","$461M (Micro)","2.90","3.9%"
"ORC","Orchid Island Capital Inc","Yes","5,575,090","NYS","$1B (Micro)","1.66","6.7%"
"ORGO","Organogenesis Holdings Inc","Yes","1,731,110","NASDAQ","$732M (Micro)","1.36","8.6%"
"OTIS","Otis Worldwide Corp","Yes","2,948,390","NYS","$34B (Mid)","1.01","2.0%"
"OUT","OUTFRONT Media Inc","Yes","1,318,210","NYS","$4B (Small)","1.55","9.3%"
"OWL","Blue Owl Capital Inc","Yes","13,225,100","NYS","$24B (Mid)","1.11","4.4%"
"PAGS","PagSeguro Digital Ltd","Yes","4,132,590","NYS","$3B (Small)","1.41","5.2%"
"PARR","Par Pacific Holdings Inc","Yes","1,092,160","NYS","$2B (Micro)","1.25","8.5%"
"PATH","UiPath Inc","Yes","23,020,420","NYS","$9B (Mid)","1.06","7.9%"
"PCAR","Paccar Inc","Yes","3,775,060","NASDAQ","$59B (Large)","1.01","2.1%"
"PCVX","Vaxcyte Inc","Yes","1,357,820","NASDAQ","$6B (Small)","1.35","7.1%"
"PEGA","Pegasystems Inc","Yes","1,082,020","NASDAQ","$10B (Mid)","1.08","3.7%"
"PGEN","Precigen Inc","Yes","4,249,220","NASDAQ","$2B (Micro)","1.09","8.2%"
"PHM","Pultegroup Inc","Yes","1,715,850","NYS","$23B (Mid)","1.34","3.0%"
"PLAB","Photronics Inc","Yes","3,298,720","NASDAQ","$2B (Micro)","1.47","8.5%"
"PLBY","Playboy Inc","Yes","1,763,950","NASDAQ","$198M (Micro)","2.64","1.6%"
"PLD","Prologis Inc","Yes","3,488,410","NYS","$118B (Large)","1.41","1.2%"
"PLG","Platinum Group Metals Ltd","Yes","4,777,330","NYS","$311M (Micro)","1.18","3.4%"
"PLNT","Planet Fitness Inc","Yes","1,352,220","NYS","$9B (Mid)","1.27","8.0%"
"PLRX","Pliant Therapeutics Inc","Yes","1,476,100","NASDAQ","$76M (Micro)","1.39","6.3%"
"PLTR","Palantir Technologies Inc","Yes","38,565,450","NASDAQ","$461B (Large)","1.53","2.1%"
"PLYM","Plymouth Industrial REIT Inc","Yes","1,789,570","NYS","$975M (Micro)","1.25","3.0%"
"PMT","PennyMac Mortgage Investment Trust","Yes","1,076,310","NYS","$1B (Micro)","1.25","5.4%"
"PNR","Pentair PLC","Yes","1,168,000","NYS","$17B (Mid)","1.21","2.0%"
"PPG","PPG Industries Inc","Yes","1,954,650","NYS","$23B (Mid)","1.16","2.1%"
"PRIM","Primoris Services Corp","Yes","1,259,950","NYS","$7B (Small)","1.37","3.0%"
"PRM","Perimeter Solutions Inc","Yes","1,168,400","NYS","$4B (Small)","1.96","2.2%"
"PROK","Prokidney Corp","Yes","1,549,390","NASDAQ","$743M (Micro)","1.80","4.6%"
"PSA","Public Storage","Yes","1,372,590","NYS","$45B (Large)","1.02","1.9%"
"PSKY","Paramount Skydance Corp","Yes","16,044,250","NASDAQ","$14B (Mid)","1.20","5.0%"
"PSNL","Personalis Inc","Yes","1,469,410","NASDAQ","$759M (Micro)","1.99","8.7%"
"PSTG","Pure Storage Inc","Yes","4,353,780","NYS","$23B (Mid)","1.28","2.8%"
"PTC","PTC Inc","Yes","1,027,730","NASDAQ","$21B (Mid)","1.01","2.8%"
"PTGX","Protagonist Therapeutics Inc","Yes","1,265,580","NASDAQ","$5B (Small)","2.26","8.9%"
"PVH","PVH Corp","Yes","1,003,980","NYS","$3B (Small)","1.73","8.4%"
"PWR","Quanta Services Inc","Yes","1,079,020","NYS","$64B (Large)","1.16","2.9%"
"PYPL","PayPal Holdings Inc","Yes","16,248,110","NASDAQ","$56B (Large)","1.42","4.6%"
"PYXS","Pyxis Oncology Inc","Yes","1,459,770","NASDAQ","$79M (Micro)","1.50","7.3%"
"QCOM","Qualcomm Inc","Yes","8,065,460","NASDAQ","$187B (Large)","1.20","2.4%"
"QS","Quantumscape Corp","Yes","17,931,170","NYS","$7B (Small)","2.61","8.9%"
"QSI","Quantum-Si Inc","Yes","4,037,860","NASDAQ","$274M (Micro)","3.02","7.3%"
"RBLX","Roblox Corp","Yes","7,305,230","NYS","$58B (Large)","1.65","2.2%"
"RCL","Royal Caribbean Cruises Ltd","Yes","2,713,970","NYS","$80B (Large)","1.93","4.0%"
"RDNT","RadNet Inc","Yes","1,322,730","NASDAQ","$6B (Small)","1.51","9.2%"
"REKR","Rekor Systems Inc","Yes","2,395,500","NASDAQ","$212M (Micro)","2.03","9.7%"
"REXR","Rexford Industrial Realty Inc","Yes","2,500,870","NYS","$10B (Mid)","1.23","5.9%"
"REZI","Resideo Technologies Inc","Yes","1,454,010","NYS","$5B (Small)","1.71","3.0%"
"RF","Regions Financial Corp","Yes","11,661,680","NYS","$24B (Mid)","1.03","5.5%"
"RITM","Rithm Capital Corp","Yes","5,337,340","NYS","$6B (Small)","1.22","1.6%"
"RJF","Raymond James Financial Inc","Yes","1,326,880","NYS","$32B (Mid)","1.00","3.6%"
"RKLB","Rocket Lab Corp","Yes","26,475,180","NASDAQ","$32B (Mid)","2.15","8.6%"
"RKT","Rocket Companies Inc","Yes","18,162,390","NYS","$54B (Large)","2.30","1.4%"
"RMBS","Rambus Inc","Yes","1,483,640","NASDAQ","$10B (Mid)","1.51","3.4%"
"RNG","RingCentral Inc","Yes","1,214,060","NYS","$3B (Small)","1.21","8.8%"
"ROIV","Roivant Sciences Ltd","Yes","9,908,870","NASDAQ","$16B (Mid)","1.22","3.3%"
"ROKU","Roku Inc","Yes","3,555,350","NASDAQ","$16B (Mid)","1.93","4.0%"
"ROST","Ross Stores Inc","Yes","2,710,860","NASDAQ","$59B (Large)","1.00","2.1%"
"RPAY","Repay Holdings Corp","Yes","1,553,140","NASDAQ","$357M (Micro)","1.60","5.6%"
"RPM","RPM International Inc","Yes","1,026,780","NYS","$13B (Mid)","1.10","1.5%"
"RSI","Rush Street Interactive Inc","Yes","1,253,610","NYS","$4B (Small)","1.56","4.2%"
"RVLV","Revolve Group Inc","Yes","1,051,940","NYS","$2B (Micro)","1.74","9.0%"
"RVTY","Revvity Inc","Yes","1,322,110","NYS","$11B (Mid)","1.06","7.2%"
"RWT","Redwood Trust Inc","Yes","1,538,370","NYS","$733M (Micro)","1.61","4.8%"
"RXT","Rackspace Technology Inc","Yes","1,360,770","NASDAQ","$251M (Micro)","2.12","2.2%"
"RYTM","Rhythm Pharmaceuticals Inc","Yes","1,218,700","NASDAQ","$7B (Small)","2.00","8.2%"
"SABR","Sabre Corp","Yes","6,474,940","NASDAQ","$584M (Micro)","1.07","8.0%"
"SATL","Satellogic Inc","Yes","3,842,340","NASDAQ","$245M (Micro)","1.35","4.0%"
"SCCO","Southern Copper Corp","Yes","1,075,440","NYS","$118B (Large)","1.06","1.2%"
"SE","Sea Ltd","Yes","5,454,400","NYS","$72B (Large)","1.59","3.4%"
"SEE","Sealed Air Corp","Yes","5,340,920","NYS","$6B (Small)","1.36","5.7%"
"SEM","Select Medical Holdings Corp","Yes","1,099,400","NYS","$2B (Micro)","1.25","3.8%"
"SEMR","SEMrush Holdings Inc","Yes","1,501,850","NYS","$2B (Micro)","1.55","3.6%"
"SGHC","SGHC Ltd","Yes","2,044,080","NYS","$6B (Small)","1.08","2.4%"
"SGI","Somnigroup International Inc","Yes","1,532,320","NYS","$19B (Mid)","1.31","3.1%"
"SGMO","Sangamo Therapeutics Inc","Yes","3,900,660","NASDAQ","$145M (Micro)","1.30","3.5%"
"SHC","Sotera Health Co","Yes","2,527,180","NASDAQ","$5B (Small)","1.83","2.7%"
"SHLS","Shoals Technologies Group Inc","Yes","4,664,120","NASDAQ","$1B (Micro)","1.69","8.1%"
"SHO","Sunstone Hotel Investors Inc","Yes","1,874,100","NYS","$2B (Micro)","1.02","6.7%"
"SHOP","Shopify Inc","Yes","6,397,950","NASDAQ","$221B (Large)","2.82","1.3%"
"SHW","Sherwin-Williams Co","Yes","1,779,270","NYS","$80B (Large)","1.26","1.8%"
"SITC","Site Centers Corp","Yes","2,155,330","NYS","$330M (Micro)","1.06","6.5%"
"SKYT","Skywater Technology Inc","Yes","1,414,380","NASDAQ","$761M (Micro)","3.49","6.6%"
"SLM","SLM Corp","Yes","5,384,980","NASDAQ","$6B (Small)","1.13","8.1%"
"SM","SM Energy Co","Yes","2,929,620","NYS","$2B (Small)","1.07","8.7%"
"SMRT","SmartRent Inc","Yes","1,498,170","NYS","$395M (Micro)","1.76","2.0%"
"SMTC","Semtech Corp","Yes","1,647,130","NASDAQ","$7B (Small)","2.02","7.1%"
"SNDR","Schneider National Inc","Yes","1,028,430","NYS","$5B (Small)","1.06","2.3%"
"SNOW","Snowflake Inc","Yes","6,000,290","NYS","$76B (Large)","1.15","3.6%"
"SNPS","Synopsys Inc","Yes","2,520,860","NASDAQ","$88B (Large)","1.11","2.3%"
"SOFI","SoFi Technologies Inc","Yes","60,979,830","NASDAQ","$34B (Mid)","1.94","9.6%"
"SONO","Sonos Inc","Yes","1,533,180","NASDAQ","$2B (Small)","2.01","6.9%"
"SPG","Simon Property Group Inc","Yes","1,540,440","NYS","$60B (Large)","1.40","1.4%"
"SPOT","Spotify Technology SA","Yes","2,060,180","NYS","$120B (Large)","1.66","3.5%"
"SQM","Sociedad Quimica y Minera de Chile SA","Yes","1,272,790","NYS","$10B (Mid)","1.02","2.3%"
"SRAD","Sportradar Group AG","Yes","1,688,450","NASDAQ","$7B (Small)","2.01","3.4%"
"SSNC","SS&C Technologies Holdings Inc","Yes","1,351,430","NASDAQ","$21B (Mid)","1.19","1.5%"
"ST","Sensata Technologies Holding PLC","Yes","1,628,590","NYS","$5B (Small)","1.14","4.3%"
"STAA","STAAR Surgical Co","Yes","2,213,740","NASDAQ","$1B (Micro)","1.01","7.4%"
"STAG","STAG Industrial Inc","Yes","1,520,500","NYS","$7B (Small)","1.06","4.4%"
"STGW","Stagwell Inc","Yes","1,534,510","NASDAQ","$1B (Micro)","1.65","3.1%"
"STLD","Steel Dynamics Inc","Yes","1,377,880","NASDAQ","$25B (Mid)","1.48","2.5%"
"STNE","StoneCo Ltd","Yes","6,763,440","NASDAQ","$4B (Small)","1.84","5.2%"
"STT","State Street Corp","Yes","2,253,980","NYS","$36B (Mid)","1.44","1.7%"
"STWD","Starwood Property Trust Inc","Yes","3,247,200","NYS","$7B (Small)","1.15","3.4%"
"STX","Seagate Technology Holdings PLC","Yes","3,425,570","NASDAQ","$65B (Large)","1.61","6.1%"
"SUIG","SUI Group Holdings Ltd","Yes","1,454,210","NASDAQ","$150M (Micro)","1.22","2.0%"
"SUPV","Grupo Supervielle SA","Yes","1,214,840","NYS","$1B (Micro)","1.75","5.2%"
"SVC","Service Properties Trust","Yes","1,068,770","NASDAQ","$321M (Micro)","1.43","2.8%"
"SWBI","Smith & Wesson Brands Inc","Yes","1,139,990","NASDAQ","$461M (Micro)","1.06","6.1%"
"SWK","Stanley Black & Decker Inc","Yes","1,643,420","NYS","$11B (Mid)","1.20","3.2%"
"SWKS","Skyworks Solutions Inc","Yes","2,576,170","NASDAQ","$10B (Mid)","1.29","8.4%"
"SYF","Synchrony Financial","Yes","3,210,350","NYS","$30B (Mid)","1.41","5.6%"
"SYM","Symbotic Inc","Yes","3,974,680","NASDAQ","$36B (Mid)","2.17","2.2%"
"TALK","Talkspace Inc","Yes","1,172,150","NASDAQ","$596M (Micro)","1.17","4.2%"
"TARA","Protara Therapeutics Inc","Yes","1,607,780","NASDAQ","$272M (Micro)","1.44","7.2%"
"TBLA","Taboola.com Ltd","Yes","1,626,770","NASDAQ","$1B (Micro)","1.28","1.8%"
"TE","T1 Energy Inc","Yes","26,045,610","NYS","$2B (Micro)","1.54","5.8%"
"TECH","Bio-Techne Corp","Yes","1,972,670","NASDAQ","$9B (Mid)","1.48","5.9%"
