"Symbol","Description","Optionable Stocks","Average Volume (10 Day)","Exchange","Market Capitalization","Beta"
"A","Agilent Technologies Inc","Yes","2,116,120","NYS","$39B (Mid)","1.30"
"AA","Alcoa Corp","Yes","6,073,220","NYS","$13B (Mid)","1.94"
"AAL","American Airlines Group Inc","Yes","59,748,510","NASDAQ","$10B (Mid)","1.22"
"AAOI","Applied Optoelectronics Inc","Yes","5,647,130","NASDAQ","$2B (Small)","3.26"
"AAON","Aaon Inc","Yes","1,050,480","NASDAQ","$6B (Small)","1.10"
"AAP","Advance Auto Parts Inc","Yes","1,938,220","NYS","$2B (Small)","1.18"
"AAPL","Apple Inc","Yes","41,331,730","NASDAQ","$4T (Large)","1.09"
"ABEO","Abeona Therapeutics Inc","Yes","1,309,390","NASDAQ","$267M (Micro)","1.12"
"ABNB","Airbnb Inc","Yes","4,531,500","NASDAQ","$82B (Large)","1.09"
"ABR","Arbor Realty Trust Inc","Yes","3,031,720","NYS","$2B (Micro)","1.34"
"ABSI","Absci Corp","Yes","3,721,660","NASDAQ","$508M (Micro)","2.12"
"ABTC","American Bitcoin Corp","Yes","16,601,870","NASDAQ","$1B (Micro)","3.64"
"ACET","Adicet Bio Inc","Yes","3,295,700","NASDAQ","$72M (Micro)","1.63"
"ACHR","Archer Aviation Inc","Yes","36,538,620","NYS","$5B (Small)","3.09"
"ACIU","AC Immune SA","Yes","2,651,870","NASDAQ","$304M (Micro)","1.62"
"ACM","AECOM","Yes","1,555,260","NYS","$13B (Mid)","1.08"
"ACMR","ACM Research Inc","Yes","1,251,160","NASDAQ","$3B (Small)","1.44"
"ACN","Accenture PLC","Yes","4,320,280","NYS","$168B (Large)","1.24"
"ACVA","ACV Auctions Inc","Yes","2,939,050","NYS","$1B (Micro)","1.62"
"ADBE","Adobe Inc","Yes","5,596,670","NASDAQ","$149B (Large)","1.51"
"ADCT","ADC Therapeutics SA","Yes","1,766,570","NYS","$462M (Micro)","1.95"
"ADI","Analog Devices Inc","Yes","3,714,050","NASDAQ","$134B (Large)","1.02"
"ADNT","Adient PLC","Yes","1,239,140","NYS","$2B (Micro)","1.61"
"ADPT","Adaptive Biotechnologies Corp","Yes","3,403,970","NASDAQ","$3B (Small)","2.19"
"ADSK","Autodesk Inc","Yes","1,648,820","NASDAQ","$64B (Large)","1.46"
"ADTN","ADTRAN Holdings Inc","Yes","1,099,030","NASDAQ","$696M (Micro)","1.35"
"ADV","Advantage Solutions Inc","Yes","1,380,720","NASDAQ","$298M (Micro)","2.17"
"AEO","American Eagle Outfitters Inc","Yes","9,557,160","NYS","$5B (Small)","1.33"
