"Symbol","Description","Price","Exchange","Optionable Stocks","Average Volume (10 Day)"
"AZN","AstraZeneca PLC","$92.52","NASDAQ","Yes","4,613,310"
"B","Barrick Mining Corp","$44.02","NYS","Yes","11,457,130"
"BA","Boeing Co","$217.25","NYS","Yes","6,158,090"
"BABA","Alibaba Group Holding Ltd","$148.49","NYS","Yes","7,452,150"
"BAC","Bank of America Corp","$55.35","NYS","Yes","36,718,920"
"BAH","Booz Allen Hamilton Holding Corp","$85.12","NYS","Yes","4,058,840"
"BALL","Ball Corp","$53.16","NYS","Yes","2,774,600"
"BAM","BROOKFIELD ASSET MANAGEMENT LTD","$53.32","NYS","Yes","1,376,810"
"BBIO","BridgeBio Pharma Inc","$75.61","NASDAQ","Yes","1,856,700"
"BBNX","Beta Bionics Inc","$31.27","NASDAQ","Yes","1,169,020"
"BBY","Best Buy Co Inc","$67.84","NYS","Yes","4,937,820"
"BCS","Barclays PLC","$25.48","NYS","Yes","4,952,050"
"BDX","Becton Dickinson and Co","$195.16","NYS","Yes","2,291,180"
"BE","Bloom Energy Corp","$88.41","NYS","Yes","10,539,620"
"BEAM","Beam Therapeutics Inc","$27.84","NASDAQ","Yes","1,450,450"
"BF/B","Brown-Forman Corp","$26.11","NYS","Yes","5,245,970"
"BG","Bunge Global SA","$89.36","NYS","Yes","1,414,650"
"BHP","BHP Group Ltd","$60.39","NYS","Yes","2,555,010"
"BIDU","Baidu Inc","$126.81","NASDAQ","Yes","1,800,850"
"BIIB","Biogen Inc","$176.83","NASDAQ","Yes","3,048,100"
"BILL","BILL Holdings Inc","$55.22","NYS","Yes","2,480,470"
"BIRK","Birkenstock Holding PLC","$41.20","NYS","Yes","4,009,530"
"BJ","BJ's Wholesale Club Holdings Inc","$91.47","NYS","Yes","1,776,060"
"BK","Bank of New York Mellon Corp","$117.47","NYS","Yes","3,599,630"
"BKH","Black Hills Corp","$69.75","NYS","Yes","1,003,780"
"BKR","Baker Hughes Co","$45.38","NASDAQ","Yes","8,092,150"
"BLDR","Builders FirstSource Inc","$103.45","NYS","Yes","1,607,450"
"BLSH","Bullish","$40.54","NYS","Yes","1,584,290"
"BMNR","Bitmine Immersion Technologies Inc","$28.54","NYS","Yes","43,340,770"
"BMRN","BioMarin Pharmaceutical Inc","$60.04","NASDAQ","Yes","4,029,430"
"BMY","Bristol-Myers Squibb Co","$54.11","NYS","Yes","18,316,570"
"BN","Brookfield Corp","$46.74","NYS","Yes","2,979,540"
"BNS","Bank of Nova Scotia","$73.92","NYS","Yes","1,882,470"
"BNTX","Biontech SE","$95.20","NASDAQ","Yes","1,442,340"
"BOX","Box Inc","$30.63","NYS","Yes","1,924,410"
"BP","BP PLC","$34.45","NYS","Yes","8,406,560"
"BRBR","Bellring Brands Inc","$27.33","NYS","Yes","3,607,700"
"BRKR","Bruker Corp","$48.44","NASDAQ","Yes","1,658,110"
"BRO","Brown & Brown Inc","$80.86","NYS","Yes","2,639,740"
"BROS","Dutch Bros Inc","$64.48","NYS","Yes","3,094,190"
"BRX","Brixmor Property Group Inc","$26.36","NYS","Yes","2,679,570"
"BRZE","Braze Inc","$35.25","NASDAQ","Yes","1,815,130"
"BSX","Boston Scientific Corp","$95.76","NYS","Yes","9,654,910"
"BSY","Bentley Systems Inc","$39.08","NASDAQ","Yes","2,371,030"
"BTI","British American Tobacco plc","$57.02","NYS","Yes","2,404,820"
"BTSG","Brightspring Health Services Inc","$37.84","NASDAQ","Yes","1,895,460"
"BTU","Peabody Energy Corp","$30.44","NYS","Yes","2,481,350"
"BUD","Anheuser-Busch Inbev SA","$64.31","NYS","Yes","2,075,900"
"BVN","Compania de Minas Buenaventura SAA","$28.10","NYS","Yes","2,043,590"
"BWA","Borgwarner Inc","$45.79","NYS","Yes","5,701,650"
"BWIN","Baldwin Insurance Group Inc","$25.84","NASDAQ","Yes","1,053,950"
"BX","Blackstone Inc","$155.13","NYS","Yes","3,556,490"
"BXP","BXP Inc","$69.01","NYS","Yes","1,341,770"
"BXSL","Blackstone Secured Lending Fund","$27.12","NYS","Yes","2,359,040"
"C","Citigroup Inc","$118.13","NYS","Yes","16,332,360"
"CADE","Cadence Bank","$43.36","NYS","Yes","1,866,930"
"CAH","Cardinal Health Inc","$207.38","NYS","Yes","1,981,740"
"CAI","Caris Life Sciences Inc","$27.95","NASDAQ","Yes","1,872,920"
"CAKE","Cheesecake Factory Inc","$50.75","NASDAQ","Yes","1,160,250"
"CAPR","Capricor Therapeutics Inc","$30.04","NASDAQ","Yes","1,124,960"
"CARR","Carrier Global Corp","$53.61","NYS","Yes","6,409,950"
"CART","Maplebear Inc","$45.37","NASDAQ","Yes","3,966,120"
"CAT","Caterpillar Inc","$578.61","NYS","Yes","2,619,620"
"CAVA","CAVA Group Inc","$59.96","NYS","Yes","3,328,930"
"CB","Chubb Ltd","$314.45","NYS","Yes","1,853,170"
"CBRE","CBRE Group Inc","$164.17","NYS","Yes","1,458,310"
"CBRL","Cracker Barrel Old Country Store Inc","$25.33","NASDAQ","Yes","1,836,260"
"CBSH","Commerce Bancshares Inc","$52.68","NASDAQ","Yes","1,046,960"
"CCEP","Coca-Cola Europacific Partners PLC","$91.73","NASDAQ","Yes","1,445,320"
"CCI","Crown Castle Inc","$88.66","NYS","Yes","2,933,330"
"CCK","Crown Holdings Inc","$103.75","NYS","Yes","1,492,450"
"CCL","Carnival Corp","$30.72","NYS","Yes","25,688,160"
