"Symbol","Description","Price","Optionable Stocks","Beta","Market Capitalization"
"BANC","Banc of California Inc","$20.00","Yes","0.71","$3B (Small)"
"BANR","Banner Corp","$64.20","Yes","0.87","$2B (Small)"
"BAX","Baxter International Inc","$19.79","Yes","0.59","$10B (Mid)"
"BBAR","Banco BBVA Argentina SA","$16.18","Yes","1.13","$3B (Small)"
"BBIO","BridgeBio Pharma Inc","$75.25","Yes","1.10","$15B (Mid)"
"BBT","Beacon Financial Corp","$30.68","Yes","0.65","$3B (Small)"
"BBVA","Banco Bilbao Vizcaya Argentaria SA","$22.73","Yes","0.85","$128B (Large)"
"BBWI","Bath & Body Works Inc","$24.07","Yes","1.47","$5B (Small)"
"BBY","Best Buy Co Inc","$65.80","Yes","1.46","$14B (Mid)"
"BC","Brunswick Corp","$87.04","Yes","1.36","$6B (Small)"
"BCC","Boise Cascade Co","$86.50","Yes","1.24","$3B (Small)"
"BCE","BCE Inc","$25.71","Yes","0.64","$24B (Mid)"
"BCH","Banco de Chile","$43.52","Yes","0.19","$22B (Mid)"
"BCS","Barclays PLC","$25.31","Yes","0.95","$87B (Large)"
"BEAM","Beam Therapeutics Inc","$27.92","Yes","2.12","$3B (Small)"
"BEN","Franklin Resources Inc","$27.03","Yes","1.48","$14B (Mid)"
"BEPC","Brookfield Renewable Corp","$43.84","Yes","1.22","$8B (Mid)"
"BF/B","Brown-Forman Corp","$29.95","Yes","0.37","$9B (Mid)"
"BFAM","Bright Horizons Family Solutions Inc","$66.90","Yes","1.41","$4B (Small)"
"BFH","Bread Financial Holdings Inc","$72.37","Yes","1.20","$3B (Small)"
"BGC","Bgc Group Inc","$9.21","Yes","1.00","$4B (Small)"
"BHC","Bausch Health Companies Inc","$5.99","Yes","0.37","$2B (Small)"
"BHF","Brighthouse Financial Inc","$63.84","Yes","0.96","$4B (Small)"
"BHP","BHP Group Ltd","$73.38","Yes","0.78","$186B (Large)"
"BILI","Bilibili Inc","$30.60","Yes","0.74","$10B (Mid)"
"BILL","BILL Holdings Inc","$46.99","Yes","1.24","$5B (Small)"
"BIP","Brookfield Infrastructure Partners LP","$38.75","Yes","1.08","$25B (Mid)"
"BIPC","Brookfield Infrastructure Corp","$49.56","Yes","1.33","$7B (Small)"
"BKD","Brookdale Senior Living Inc","$16.51","Yes","0.66","$4B (Small)"
"BKE","Buckle Inc","$53.45","Yes","1.15","$3B (Small)"
"BKH","Black Hills Corp","$74.05","Yes","0.73","$6B (Small)"
"BKR","Baker Hughes Co","$61.20","Yes","0.84","$60B (Large)"
"BKU","BankUnited Inc","$48.73","Yes","1.28","$4B (Small)"
