"Symbol","Description","Price","Exchange","Optionable Stocks","Average Volume (10 Day)"
"AAON","Aaon Inc","$75.70","NASDAQ","Yes","986,030"
"ABCB","Ameris Bancorp","$75.86","NYS","Yes","502,140"
"ACIW","ACI Worldwide Inc","$48.60","NASDAQ","Yes","774,230"
"ACLS","Axcelis Technologies Inc","$81.82","NASDAQ","Yes","440,160"
"ACT","Enact Holdings Inc","$40.10","NASDAQ","Yes","270,660"
"AEIS","Advanced Energy Industries Inc","$217.26","NASDAQ","Yes","306,610"
"AFG","American Financial Group Inc","$137.94","NYS","Yes","385,040"
"AGCO","AGCO Corp","$104.38","NYS","Yes","741,780"
"AGO","Assured Guaranty Ltd","$90.59","NYS","Yes","445,260"
"AGX","Argan Inc","$320.73","NYS","Yes","259,010"
"AIN","Albany International Corp","$51.91","NYS","Yes","321,540"
"AIR","AAR Corp","$84.51","NYS","Yes","409,330"
"AIT","Applied Industrial Technologies Inc","$263.40","NYS","Yes","338,840"
"AIZ","Assurant Inc","$241.44","NYS","Yes","348,890"
"ALGT","Allegiant Travel Co","$84.65","NASDAQ","Yes","270,950"
"ALLE","Allegion PLC","$161.35","NYS","Yes","885,030"
"ALRM","Alarm.com Holdings Inc","$51.82","NASDAQ","Yes","415,460"
"ALSN","Allison Transmission Holdings Inc","$99.85","NYS","Yes","897,200"
"ALV","Autoliv Inc","$120.23","NYS","Yes","514,340"
"AMBA","Ambarella Inc","$70.07","NASDAQ","Yes","602,950"
"AMG","Affiliated Managers Group Inc","$292.08","NYS","Yes","472,210"
"AMP","Ameriprise Financial Inc","$497.78","NYS","Yes","628,740"
"AMPH","Amphastar Pharmaceuticals Inc","$26.79","NASDAQ","Yes","398,050"
"AMR","Alpha Metallurgical Resources Inc","$205.40","NYS","Yes","273,450"
"AMRC","Ameresco Inc","$30.07","NYS","Yes","455,250"
"AMSC","American Superconductor Corp","$29.24","NASDAQ","Yes","767,240"
"AN","AutoNation Inc","$210.54","NYS","Yes","404,490"
"ANAB","AnaptysBio Inc","$50.91","NASDAQ","Yes","422,250"
"ANDE","Andersons Inc","$53.63","NASDAQ","Yes","446,000"
"ANIP","ANI Pharmaceuticals Inc","$81.38","NASDAQ","Yes","445,010"
"AON","Aon PLC","$356.73","NYS","Yes","885,910"
"AORT","Artivion Inc","$46.33","NYS","Yes","373,950"
"APAM","Artisan Partners Asset Management Inc","$41.70","NYS","Yes","559,550"
"APPN","Appian Corp","$35.66","NASDAQ","Yes","542,630"
