"Symbol","Description","Optionable Stocks","Average Volume (10 Day)","Exchange","Market Capitalization","Beta"
"TOL","Toll Brothers Inc","Yes","1,696,460","NYS","$13B (Mid)","1.42"
"TOST","Toast Inc","Yes","7,042,670","NYS","$21B (Mid)","1.92"
"TPG","TPG Inc","Yes","1,926,600","NASDAQ","$24B (Mid)","1.48"
"TPR","Tapestry Inc","Yes","2,981,390","NYS","$26B (Mid)","1.63"
"TRMB","Trimble Inc","Yes","1,248,520","NASDAQ","$19B (Mid)","1.58"
"TROW","T Rowe Price Group Inc","Yes","2,141,740","NASDAQ","$23B (Mid)","1.53"
"TRU","TransUnion","Yes","1,941,880","NYS","$17B (Mid)","1.71"
"TSLA","Tesla Inc","Yes","82,666,360","NASDAQ","$2T (Large)","1.81"
"TSM","Taiwan Semiconductor Manufacturing Co Ltd","Yes","13,661,530","NYS","$1T (Large)","1.30"
"TT","Trane Technologies PLC","Yes","1,402,730","NYS","$86B (Large)","1.22"
"TTD","Trade Desk Inc","Yes","13,062,280","NASDAQ","$18B (Mid)","1.11"
"TWLO","Twilio Inc","Yes","2,330,720","NYS","$21B (Mid)","1.30"
"U","Unity Software Inc","Yes","8,533,880","NYS","$20B (Mid)","2.04"
"UAL","United Airlines Holdings Inc","Yes","5,386,890","NASDAQ","$37B (Mid)","1.30"
"UBER","Uber Technologies Inc","Yes","23,490,430","NYS","$165B (Large)","1.21"
"UBS","UBS Group AG","Yes","2,749,030","NYS","$145B (Large)","1.10"
"UGI","UGI Corp","Yes","2,407,820","NYS","$8B (Mid)","1.08"
"UMC","United Microelectronics Corp","Yes","9,597,990","NYS","$20B (Mid)","1.01"
"UPS","United Parcel Service Inc","Yes","5,633,590","NYS","$86B (Large)","1.08"
"USB","US Bancorp","Yes","9,483,080","NYS","$84B (Large)","1.08"
"USFD","US Foods Holding Corp","Yes","2,060,760","NYS","$17B (Mid)","1.03"
"UWMC","UWM Holdings Corp","Yes","14,018,230","NYS","$8B (Mid)","1.93"
"VEEV","Veeva Systems Inc","Yes","2,097,640","NYS","$36B (Mid)","1.08"
"VMC","Vulcan Materials Co","Yes","1,046,400","NYS","$39B (Mid)","1.06"
"VRT","Vertiv Holdings Co","Yes","8,495,510","NYS","$61B (Large)","2.08"
"VST","Vistra Corp","Yes","5,357,230","NYS","$55B (Large)","1.42"
"W","Wayfair Inc","Yes","2,872,760","NYS","$13B (Mid)","3.32"
"WAL","Western Alliance Bancorp","Yes","1,015,550","NYS","$10B (Mid)","1.32"
"WBD","Warner Bros Discovery Inc","Yes","94,319,050","NASDAQ","$69B (Large)","1.56"
"WBS","Webster Financial Corp","Yes","1,628,800","NYS","$10B (Mid)","1.03"
"WDAY","Workday Inc","Yes","2,843,990","NASDAQ","$57B (Large)","1.14"
"WDC","Western Digital Corp","Yes","6,638,940","NASDAQ","$62B (Large)","1.78"
"WFC","Wells Fargo & Co","Yes","14,587,650","NYS","$292B (Large)","1.08"
"WIT","Wipro Ltd","Yes","7,253,000","NYS","$32B (Mid)","1.02"
"WMG","Warner Music Group Corp","Yes","3,258,810","NASDAQ","$15B (Mid)","1.24"
"WSM","Williams-Sonoma Inc","Yes","1,277,530","NYS","$23B (Mid)","1.57"
"WY","Weyerhaeuser Co","Yes","9,056,790","NYS","$17B (Mid)","1.03"
"WYNN","Wynn Resorts Ltd","Yes","1,296,820","NASDAQ","$13B (Mid)","1.07"
"XP","XP Inc","Yes","7,883,820","NASDAQ","$8B (Mid)","1.21"
"XPEV","Xpeng Inc","Yes","7,250,670","NYS","$19B (Mid)","1.15"
"XPO","XPO Inc","Yes","1,728,390","NYS","$16B (Mid)","2.06"
"XYL","Xylem Inc","Yes","1,404,150","NYS","$34B (Mid)","1.17"
"XYZ","Block Inc","Yes","5,848,810","NYS","$40B (Mid)","2.66"
"YPF","YPF SA","Yes","1,230,690","NYS","$14B (Mid)","1.48"
"Z","Zillow Group Inc","Yes","3,399,020","NASDAQ","$13B (Mid)","2.08"
"ZS","Zscaler Inc","Yes","1,753,970","NASDAQ","$37B (Mid)","1.02"
