"Symbol","Description","Optionable Stocks","Average Volume (10 Day)","Exchange","Market Capitalization","Beta"
"CHWY","Chewy Inc","Yes","10,811,370","NYS","$13B (Mid)","1.57"
"CIEN","Ciena Corp","Yes","3,732,650","NYS","$32B (Mid)","1.14"
"CLS","Celestica Inc","Yes","2,847,650","NYS","$34B (Mid)","1.90"
"CM","Canadian Imperial Bank of Commerce","Yes","1,003,770","NYS","$86B (Large)","1.03"
"CMA","Comerica Inc","Yes","1,713,510","NYS","$11B (Mid)","1.04"
"CMC","Commercial Metals Co","Yes","1,163,640","NYS","$8B (Mid)","1.48"
"CNH","CNH Industrial NV","Yes","12,970,920","NYS","$12B (Mid)","1.29"
"COF","Capital One Financial Corp","Yes","3,818,490","NYS","$155B (Large)","1.12"
"COHR","Coherent Corp","Yes","5,016,800","NYS","$29B (Mid)","1.83"
"COIN","Coinbase Global Inc (Pre-Reincorpoartion)","Yes","7,946,970","NASDAQ","$66B (Large)","3.71"
"COO","Cooper Companies Inc","Yes","3,959,500","NASDAQ","$16B (Mid)","1.02"
"COST","Costco Wholesale Corp","Yes","3,128,190","NASDAQ","$380B (Large)","1.02"
"CPNG","Coupang Inc","Yes","17,173,620","NYS","$42B (Large)","1.22"
"CPRT","Copart Inc","Yes","8,539,090","NASDAQ","$38B (Mid)","1.10"
"CRDO","Credo Technology Group Holding Ltd","Yes","6,066,560","NASDAQ","$27B (Mid)","2.69"
"CRH","CRH PLC","Yes","10,311,030","NYS","$83B (Large)","1.19"
"CRM","Salesforce Inc","Yes","8,572,900","NYS","$244B (Large)","1.25"
"CRS","Carpenter Technology Corp","Yes","1,224,940","NYS","$16B (Mid)","1.29"
"CRWD","CrowdStrike Holdings Inc","Yes","2,146,020","NASDAQ","$121B (Large)","1.03"
"CSX","CSX Corp","Yes","11,320,790","NASDAQ","$68B (Large)","1.29"
"CUBE","CubeSmart","Yes","2,273,530","NYS","$8B (Mid)","1.12"
"CVNA","Carvana Co","Yes","5,351,380","NYS","$98B (Large)","3.51"
"CX","Cemex SAB de CV","Yes","6,956,250","NYS","$17B (Mid)","1.58"
"DAL","Delta Air Lines Inc","Yes","8,501,450","NYS","$46B (Large)","1.37"
"DASH","DoorDash Inc","Yes","4,659,460","NASDAQ","$101B (Large)","1.68"
"DAY","Dayforce Inc","Yes","4,132,090","NYS","$11B (Mid)","1.18"
"DD","Dupont De Nemours Inc","Yes","4,696,860","NYS","$17B (Mid)","1.05"
"DDOG","Datadog Inc","Yes","3,790,310","NASDAQ","$49B (Large)","1.27"
"DE","Deere & Co","Yes","1,568,680","NYS","$127B (Large)","1.00"
"DECK","Deckers Outdoor Corp","Yes","3,178,640","NYS","$14B (Mid)","1.14"
"DELL","Dell Technologies Inc","Yes","5,736,270","NYS","$84B (Large)","1.03"
"DHI","D.R. Horton Inc","Yes","3,044,060","NYS","$43B (Large)","1.42"
"DIS","Walt Disney Co","Yes","12,549,010","NYS","$199B (Large)","1.43"
"DKNG","Draftkings Inc","Yes","10,410,280","NASDAQ","$17B (Mid)","1.62"
"DKS","DICK'S Sporting Goods Inc","Yes","1,462,360","NYS","$19B (Mid)","1.19"
"DLR","Digital Realty Trust Inc","Yes","2,397,570","NYS","$52B (Large)","1.13"
"DOC","Healthpeak Properties Inc","Yes","7,658,330","NYS","$11B (Mid)","1.10"
"DOCS","Doximity Inc","Yes","3,786,610","NYS","$8B (Mid)","1.40"
"DOV","Dover Corp","Yes","1,138,190","NYS","$27B (Mid)","1.30"
"DXCM","Dexcom Inc","Yes","5,717,630","NASDAQ","$26B (Mid)","1.48"
"EBAY","eBay Inc","Yes","4,455,610","NASDAQ","$38B (Mid)","1.35"
"ECL","Ecolab Inc","Yes","1,474,900","NYS","$75B (Large)","1.00"
"EFX","Equifax Inc","Yes","1,654,380","NYS","$27B (Mid)","1.55"
"EL","Estee Lauder Companies Inc","Yes","3,808,320","NYS","$39B (Mid)","1.12"
"ELAN","Elanco Animal Health Inc","Yes","5,894,690","NYS","$11B (Mid)","1.87"
"EMR","Emerson Electric Co","Yes","2,399,040","NYS","$75B (Large)","1.25"
"ENTG","Entegris Inc","Yes","2,838,110","NASDAQ","$13B (Mid)","1.30"
"EQH","Equitable Holdings Inc","Yes","2,278,870","NYS","$14B (Mid)","1.12"
"EQX","Equinox Gold Corp","Yes","10,130,400","NYS","$11B (Mid)","1.25"
"ETN","Eaton Corporation PLC","Yes","3,322,850","NYS","$123B (Large)","1.20"
"EXAS","Exact Sciences Corp","Yes","4,644,170","NASDAQ","$19B (Mid)","1.40"
"EXPD","Expeditors International of Washington Inc","Yes","1,373,540","NYS","$20B (Mid)","1.13"
"EXPE","Expedia Group Inc","Yes","1,959,610","NASDAQ","$35B (Mid)","1.41"
